scope,study_id,model,system,scenario,budget,strategy,N,planned_jobs,started_jobs,execution_complete_jobs,score_complete_jobs,failed_jobs,incomplete_started_jobs,unstarted_jobs,unowned_output_jobs,planned_agent_slots,started_invocation_agent_slots,physical_attempts,failed_api_attempts,pending_api_attempts,retry_attempts,attempt_number_unknown,ambiguous_terminal_agent_slots,unattributed_terminal_rows,raw_input_tokens_known_sum,raw_input_tokens_complete_sum,raw_input_tokens_unknown_attempts,total_input_tokens_known_sum,total_input_tokens_complete_sum,total_input_tokens_unknown_attempts,output_tokens_known_sum,output_tokens_complete_sum,output_tokens_unknown_attempts,total_tokens_known_sum,total_tokens_complete_sum,total_tokens_unknown_attempts,cache_read_tokens_known_sum,cache_read_tokens_complete_sum,cache_read_tokens_unknown_attempts,cache_creation_tokens_known_sum,cache_creation_tokens_complete_sum,cache_creation_tokens_unknown_attempts,reasoning_tokens_included_in_output_known_sum,reasoning_tokens_included_in_output_complete_sum,reasoning_tokens_included_in_output_unknown_attempts,request_wall_seconds_known_sum,request_wall_seconds_complete_sum,request_wall_seconds_unknown_attempts,simulated_feedback_seconds_known_sum,simulated_feedback_seconds_known_agents,simulated_feedback_seconds_unknown_planned_agents,agent_wall_seconds_known_sum,agent_wall_seconds_known_agents,agent_wall_seconds_unknown_planned_agents,feedback_attempts_known_sum,feedback_attempts_known_agents,feedback_attempts_unknown_planned_agents,logical_llm_calls_known_sum,logical_llm_calls_known_agents,logical_llm_calls_unknown_planned_agents,agent_steps_known_sum,agent_steps_known_agents,agent_steps_unknown_planned_agents,local_pool_cache_hits_known_sum,local_pool_cache_hits_known_pools,local_pool_cache_hits_unknown_pools,local_pool_cache_misses_known_sum,local_pool_cache_misses_known_pools,local_pool_cache_misses_unknown_pools
model_total,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,all,all,all,all,,783,783,783,782,0,0,0,0,1881,1881,14682,13,0,13,0,0,0,120478791,,13,120478791,,13,2947888,,13,123426679,,13,74817408,,13,0,,13,1870955,,13,97006.55660640541,97006.55660640541,0,22671174.141316116,1881,0,147293.75853902847,1881,0,12789.0,1881,0,14669.0,1881,0,14058.0,1881,0,611.0,244,122,5394.0,244,122
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_free,single,1,39,39,39,39,0,0,0,0,39,39,371,0,0,0,0,0,0,3285134,3285134,0,3285134,3285134,0,75439,75439,0,3360573,3360573,0,2045568,2045568,0,0,0,0,50789,50789,0,2454.4249144550413,2454.4249144550413,0,99946.07177583501,39,0,2473.1633880138397,39,0,332.0,39,0,371.0,39,0,369.0,39,0,0,0,0,0,0,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_moderate,single,1,39,39,39,39,0,0,0,0,39,39,262,0,0,0,0,0,0,2205144,2205144,0,2205144,2205144,0,79576,79576,0,2284720,2284720,0,1348480,1348480,0,0,0,0,57192,57192,0,2344.896582468413,2344.896582468413,0,67093.41248040088,39,0,2359.956420660019,39,0,223.0,39,0,262.0,39,0,260.0,39,0,0,0,0,0,0,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,evidence_audit,cost_tight,single,1,39,39,39,39,0,0,0,0,39,39,121,0,0,0,0,0,0,952864,952864,0,952864,952864,0,65628,65628,0,1018492,1018492,0,632064,632064,0,0,0,0,50589,50589,0,1726.1632637307048,1726.1632637307048,0,24675.410883892328,39,0,1737.2809414863586,39,0,82.0,39,0,121.0,39,0,107.0,39,0,0,0,0,0,0,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_free,single,1,73,73,73,73,0,0,0,0,73,73,904,1,0,1,0,0,0,5974680,,1,5974680,,1,76347,,1,6051027,,1,4320256,,1,0,,1,54001,,1,3733.349753221497,3733.349753221497,0,209049.00610168464,73,0,3838.529158115387,73,0,830.0,73,0,903.0,73,0,901.0,73,0,0,0,0,0,0,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_moderate,single,1,73,73,73,73,0,0,0,0,73,73,795,0,0,0,0,0,0,5117411,5117411,0,5117411,5117411,0,82445,82445,0,5199856,5199856,0,3677184,3677184,0,0,0,0,63473,63473,0,3633.0573739716783,3633.0573739716783,0,170310.6373281777,73,0,3746.899922609329,73,0,722.0,73,0,795.0,73,0,775.0,73,0,0,0,0,0,0,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,restricted_search,cost_tight,single,1,73,73,73,73,0,0,0,0,73,73,383,1,0,1,0,0,0,2054198,,1,2054198,,1,35141,,1,2089339,,1,1695488,,1,0,,1,26611,,1,1613.954133898951,1613.954133898951,0,74246.56800188124,73,0,1713.482224702835,73,0,309.0,73,0,382.0,73,0,326.0,73,0,0,0,0,0,0,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,tuning,cost_free,single,1,27,27,27,27,0,0,0,0,27,27,615,2,0,2,0,0,0,5095906,,2,5095906,,2,137952,,2,5233858,,2,2912128,,2,0,,2,41021,,2,4062.9821226922795,4062.9821226922795,0,5330582.137336936,27,0,4107.230005502701,27,0,586.0,27,0,613.0,27,0,608.0,27,0,0,0,0,0,0,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,tuning,cost_moderate,single,1,27,27,27,27,0,0,0,0,27,27,393,0,0,0,0,0,0,3124812,3124812,0,3124812,3124812,0,100124,100124,0,3224936,3224936,0,1913344,1913344,0,0,0,0,36053,36053,0,2958.6997842555866,2958.6997842555866,0,3041573.2809130303,27,0,2986.9176580905914,27,0,366.0,27,0,393.0,27,0,392.0,27,0,0,0,0,0,0,0
setting,gpt56sol_medium_refmatrix_20260910_v1,gpt-5.6-sol,expgym,tuning,cost_tight,single,1,27,27,27,27,0,0,0,0,27,27,131,0,0,0,0,0,0,860621,860621,0,860621,860621,0,47320,47320,0,907941,907941,0,552960,552960,0,0,0,0,26431,26431,0,1327.3997807074338,1327.3997807074338,0,928698.3452399311,27,0,1347.4158058166504,27,0,104.0,27,0,131.0,27,0,123.0,27,0,0,0,0,0,0,0
