scenario,model,regime,metric,unit,naive,cached,poolact,cached_minus_naive,poolact_minus_cached,poolact_minus_naive
Search,kimi-k3,cost_moderate,f1_mv,分 (0–100),64.59192223898106,64.20342185048067,66.74088438794321,-0.3885003885003897,2.5374625374625452,2.1489621489621555
Search,kimi-k3,cost_tight,f1_mv,分 (0–100),21.287078934137757,18.722976370035195,30.4323780794369,-2.564102564102562,11.709401709401707,9.145299145299145
Search,glm-5.3,cost_moderate,f1_mv,分 (0–100),62.0278196748785,65.67250831956714,65.74188338894221,3.6446886446886424,0.0693750693750701,3.7140637140637125
Search,glm-5.3,cost_tight,f1_mv,分 (0–100),20.85972850678733,20.85972850678733,30.005027652086476,0.0,9.145299145299145,9.145299145299145
Search,qwen3.8-2.4t-a95b-fp8,cost_moderate,f1_mv,分 (0–100),61.21381886087769,61.17311882017764,63.484881131939964,-0.04070004070004529,2.3117623117623225,2.271062271062277
Search,qwen3.8-2.4t-a95b-fp8,cost_tight,f1_mv,分 (0–100),18.295625942684765,23.313940960999783,20.688788335847157,5.018315018315018,-2.6251526251526265,2.3931623931623918
Search,deepseek-v4-flash-0731,cost_moderate,f1_mv,分 (0–100),13.247863247863249,17.094017094017094,11.965811965811966,3.846153846153845,-5.128205128205128,-1.2820512820512828
Search,deepseek-v4-flash-0731,cost_tight,f1_mv,分 (0–100),2.564102564102564,4.2735042735042725,7.440925087983912,1.7094017094017087,3.167420814479639,4.876822523881348
Search,gpt-5.6-sol,cost_moderate,f1_mv,分 (0–100),62.31271995977878,63.77792142498024,60.60331825037707,1.46520146520146,-3.1746031746031704,-1.7094017094017104
Search,gpt-5.6-sol,cost_tight,f1_mv,分 (0–100),19.15032679738562,20.275867922926746,21.885369532428356,1.125541125541126,1.60950160950161,2.735042735042736
Audit,kimi-k3,cost_moderate,evidence_acc_mv,分 (0–100),73.75565610859728,76.47058823529412,93.66515837104072,2.714932126696837,17.194570135746602,19.90950226244344
Audit,kimi-k3,cost_tight,evidence_acc_mv,分 (0–100),55.203619909502265,54.75113122171946,62.89592760180995,-0.4524886877828038,8.14479638009049,7.692307692307686
Audit,glm-5.3,cost_moderate,evidence_acc_mv,分 (0–100),80.99547511312217,84.61538461538461,97.73755656108597,3.619909502262445,13.122171945701353,16.7420814479638
Audit,glm-5.3,cost_tight,evidence_acc_mv,分 (0–100),58.82352941176471,60.18099547511312,69.23076923076923,1.3574660633484115,9.049773755656105,10.407239819004516
Audit,qwen3.8-2.4t-a95b-fp8,cost_moderate,evidence_acc_mv,分 (0–100),68.77828054298642,74.66063348416289,93.66515837104072,5.882352941176464,19.00452488687783,24.886877828054295
Audit,qwen3.8-2.4t-a95b-fp8,cost_tight,evidence_acc_mv,分 (0–100),56.10859728506787,60.18099547511312,63.80090497737557,4.072398190045249,3.619909502262452,7.6923076923077005
Audit,deepseek-v4-flash-0731,cost_moderate,evidence_acc_mv,分 (0–100),59.276018099547514,58.82352941176471,33.4841628959276,-0.4524886877828038,-25.339366515837114,-25.791855203619917
Audit,deepseek-v4-flash-0731,cost_tight,evidence_acc_mv,分 (0–100),49.7737556561086,37.10407239819004,6.787330316742081,-12.669683257918557,-30.31674208144796,-42.98642533936652
Audit,gpt-5.6-sol,cost_moderate,evidence_acc_mv,分 (0–100),64.70588235294117,65.15837104072398,67.42081447963801,0.4524886877828038,2.2624434389140333,2.714932126696837
Audit,gpt-5.6-sol,cost_tight,evidence_acc_mv,分 (0–100),51.58371040723983,58.82352941176471,62.44343891402715,7.2398190045248825,3.6199095022624377,10.85972850678732
NAS,kimi-k3,cost_moderate,gap0_mi,Gap0点,98.03886592767417,97.9611398348133,98.5563281837845,-0.07772609286087118,0.595188348971206,0.5174622561103348
NAS,kimi-k3,cost_tight,gap0_mi,Gap0点,94.25826234358384,94.1114643730356,96.05167560611348,-0.14679797054823496,1.940211233077875,1.79341326252964
NAS,glm-5.3,cost_moderate,gap0_mi,Gap0点,97.87332960162215,98.06133287597413,98.96582781948116,0.18800327435198483,0.9044949435070322,1.092498217859017
NAS,glm-5.3,cost_tight,gap0_mi,Gap0点,83.9603281731187,86.18257817678976,96.1765989086856,2.222250003671064,9.994020731895844,12.216270735566908
NAS,qwen3.8-2.4t-a95b-fp8,cost_moderate,gap0_mi,Gap0点,96.92295141673004,97.72333308119075,98.86948406116441,0.8003816644607014,1.1461509799736689,1.9465326444343702
NAS,qwen3.8-2.4t-a95b-fp8,cost_tight,gap0_mi,Gap0点,90.62109028315723,90.7576025727036,96.27067313679852,0.13651228954637418,5.513070564094917,5.6495828536412915
NAS,deepseek-v4-flash-0731,cost_moderate,gap0_mi,Gap0点,23.42771423331495,39.31188195124831,23.534926301177723,15.884167717933359,-15.776955650070587,0.10721206786277193
NAS,deepseek-v4-flash-0731,cost_tight,gap0_mi,Gap0点,28.676025475768185,23.059597741225538,47.91246560642405,-5.616427734542647,24.85286786519851,19.236440130655865
NAS,gpt-5.6-sol,cost_moderate,gap0_mi,Gap0点,98.21127072470982,98.27952759762974,95.57967903695909,0.06825687291991756,-2.6998485606706453,-2.6315916877507277
NAS,gpt-5.6-sol,cost_tight,gap0_mi,Gap0点,96.64101526358955,96.04946232773469,97.27071155025706,-0.5915529358548639,1.2212492225223741,0.6296962866675102
