scenario,metric,baseline,target,delta_target_minus_baseline
restricted_search,F1_MV,naive,cached,-0.00815850815850816
restricted_search,F1_MV,cached,peer_context,0.04979464979464979
restricted_search,F1_MV,peer_context,graph_no_lock,-0.03003663003663004
restricted_search,F1_MV,graph_no_lock,poolact,0.10427350427350429
evidence_audit,EA_MV,naive,cached,0.03839689722042661
evidence_audit,EA_MV,cached,peer_context,0.045248868778280604
evidence_audit,EA_MV,peer_context,graph_no_lock,0.04977375565610864
evidence_audit,EA_MV,graph_no_lock,poolact,0.04524886877828049
tuning,Gap_MI,naive,cached,0.4518238045801013
tuning,Gap_MI,cached,peer_context,2.286630289562538
tuning,Gap_MI,peer_context,graph_no_lock,0.1327689156995433
tuning,Gap_MI,graph_no_lock,poolact,8.361260597732837
