study_group,scenario,regime,strategy,reported_agents,effort,cohort,metric,mean,known_mean,expected_items,known_items,missing_items,expected_units,known_units,missing_units,unit
thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,EA,0.8642533936651583,0.8642533936651583,13,13,0,39,39,0,fraction
thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,LA,0.8687782805429863,0.8687782805429863,13,13,0,39,39,0,fraction
thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,EA,0.7511312217194571,0.7511312217194571,13,13,0,39,39,0,fraction
thinking_historical_reference,evidence_audit,cost_moderate,single,1,max,historical,LA,0.8521870286576169,0.8521870286576169,13,13,0,39,39,0,fraction
thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,EA,0.5158371040723982,0.5158371040723982,13,13,0,39,39,0,fraction
thinking_historical_reference,evidence_audit,cost_tight,single,1,max,historical,LA,0.7586726998491705,0.7586726998491705,13,13,0,39,39,0,fraction
thinking_historical_reference,restricted_search,cost_free,single,1,max,historical,F1,0.6511024967511673,0.6511024967511673,73,73,0,73,73,0,fraction
thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,F1,0.538631735964108,0.538631735964108,73,73,0,73,73,0,fraction
thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,F1,0.19234139483938034,0.19234139483938034,73,73,0,73,73,0,fraction
thinking_historical_reference,tuning,cost_free,single,1,max,historical,Gap,97.91114276048467,97.91114276048467,9,9,0,27,27,0,points
thinking_historical_reference,tuning,cost_free,single,1,max,historical,Gap0,97.91114276048467,97.91114276048467,9,9,0,27,27,0,points
thinking_historical_reference,tuning,cost_free,single,1,max,historical,RawPerf,0.8291095460822065,0.8291095460822065,9,9,0,27,27,0,fraction
thinking_historical_reference,tuning,cost_moderate,single,1,max,historical,Gap,96.15455969143889,96.15455969143889,9,9,0,27,27,0,points
thinking_historical_reference,tuning,cost_moderate,single,1,max,historical,Gap0,96.15455969143889,96.15455969143889,9,9,0,27,27,0,points
thinking_historical_reference,tuning,cost_moderate,single,1,max,historical,RawPerf,0.8247661035481927,0.8247661035481927,9,9,0,27,27,0,fraction
thinking_historical_reference,tuning,cost_tight,single,1,max,historical,Gap,86.06688865843707,86.06688865843707,9,9,0,27,27,0,points
thinking_historical_reference,tuning,cost_tight,single,1,max,historical,Gap0,86.06688865843707,86.06688865843707,9,9,0,27,27,0,points
thinking_historical_reference,tuning,cost_tight,single,1,max,historical,RawPerf,0.8019560234466865,0.8019560234466865,9,9,0,27,27,0,fraction
