study_group,scenario,regime,strategy,reported_agents,effort,cohort,metric,mean,known_mean,expected_items,known_items,missing_items,expected_units,known_units,missing_units,unit
thinking_same_version,evidence_audit,cost_free,single,1,low,same_version_low,EA,0.9079939668174963,0.9079939668174963,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_free,single,1,low,same_version_low,LA,0.9532428355957767,0.9532428355957767,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_free,single,1,max,same_version_max,EA,0.9472096530920061,0.9472096530920061,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_free,single,1,max,same_version_max,LA,0.9457013574660633,0.9457013574660633,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_moderate,single,1,low,same_version_low,EA,0.6606334841628959,0.6606334841628959,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_moderate,single,1,low,same_version_low,LA,0.8446455505279035,0.8446455505279035,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_moderate,single,1,max,same_version_max,EA,0.8174962292609351,0.8174962292609351,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_moderate,single,1,max,same_version_max,LA,0.9034690799396681,0.9034690799396681,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_tight,single,1,low,same_version_low,EA,0.5882352941176471,0.5882352941176471,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_tight,single,1,low,same_version_low,LA,0.8612368024132729,0.8612368024132729,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_tight,single,1,max,same_version_max,EA,0.5791855203619909,0.5791855203619909,13,13,0,39,39,0,fraction
thinking_same_version,evidence_audit,cost_tight,single,1,max,same_version_max,LA,0.779788838612368,0.779788838612368,13,13,0,39,39,0,fraction
thinking_same_version,restricted_search,cost_free,single,1,low,same_version_low,F1,0.4941419839002434,0.4941419839002434,73,73,0,73,73,0,fraction
thinking_same_version,restricted_search,cost_free,single,1,max,same_version_max,F1,0.6063091622318053,0.6063091622318053,73,73,0,73,73,0,fraction
thinking_same_version,restricted_search,cost_moderate,single,1,low,same_version_low,F1,0.4131774461548837,0.4131774461548837,73,73,0,73,73,0,fraction
thinking_same_version,restricted_search,cost_moderate,single,1,max,same_version_max,F1,0.5565826330532213,0.5565826330532213,73,73,0,73,73,0,fraction
thinking_same_version,restricted_search,cost_tight,single,1,low,same_version_low,F1,0.1392962664517862,0.1392962664517862,73,73,0,73,73,0,fraction
thinking_same_version,restricted_search,cost_tight,single,1,max,same_version_max,F1,0.18105633286938685,0.18105633286938685,73,73,0,73,73,0,fraction
thinking_same_version,tuning,cost_free,single,1,low,same_version_low,Gap,95.6207690216876,95.6207690216876,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_free,single,1,low,same_version_low,Gap0,95.6207690216876,95.6207690216876,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_free,single,1,low,same_version_low,RawPerf,0.8276065154598405,0.8276065154598405,9,9,0,27,27,0,fraction
thinking_same_version,tuning,cost_free,single,1,max,same_version_max,Gap,98.70012837554783,98.70012837554783,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_free,single,1,max,same_version_max,Gap0,98.70012837554783,98.70012837554783,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_free,single,1,max,same_version_max,RawPerf,0.8305349189086979,0.8305349189086979,9,9,0,27,27,0,fraction
thinking_same_version,tuning,cost_moderate,single,1,low,same_version_low,Gap,93.97026994320885,93.97026994320885,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_moderate,single,1,low,same_version_low,Gap0,93.97026994320885,93.97026994320885,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_moderate,single,1,low,same_version_low,RawPerf,0.8225501892824513,0.8225501892824513,9,9,0,27,27,0,fraction
thinking_same_version,tuning,cost_moderate,single,1,max,same_version_max,Gap,96.29501511667895,96.29501511667895,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_moderate,single,1,max,same_version_max,Gap0,96.29501511667895,96.29501511667895,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_moderate,single,1,max,same_version_max,RawPerf,0.8244919937311237,0.8244919937311237,9,9,0,27,27,0,fraction
thinking_same_version,tuning,cost_tight,single,1,low,same_version_low,Gap,86.1185028204746,86.1185028204746,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_tight,single,1,low,same_version_low,Gap0,86.1185028204746,86.1185028204746,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_tight,single,1,low,same_version_low,RawPerf,0.8114080233197607,0.8114080233197607,9,9,0,27,27,0,fraction
thinking_same_version,tuning,cost_tight,single,1,max,same_version_max,Gap,83.60137961522916,83.60137961522916,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_tight,single,1,max,same_version_max,Gap0,83.60137961522916,83.60137961522916,9,9,0,27,27,0,points
thinking_same_version,tuning,cost_tight,single,1,max,same_version_max,RawPerf,0.7929699315713576,0.7929699315713576,9,9,0,27,27,0,fraction
