study_group,scenario,regime,strategy,reported_agents,effort,cohort,metric,mean,known_mean,expected_items,known_items,missing_items,expected_units,known_units,missing_units,unit
ablation,evidence_audit,cost_tight,cached,4,max,new,EA_MI,0.6346153846153846,0.6346153846153846,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,cached,4,max,new,EA_MV,0.669683257918552,0.669683257918552,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,cached,4,max,new,LA_MI,0.847285067873303,0.847285067873303,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,cached,4,max,new,LA_MV,0.8868778280542986,0.8868778280542986,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,graph_no_lock,4,max,new,EA_MI,0.6470588235294118,0.6470588235294118,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,graph_no_lock,4,max,new,EA_MV,0.7647058823529412,0.7647058823529412,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,graph_no_lock,4,max,new,LA_MI,0.7714932126696833,0.7714932126696833,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,graph_no_lock,4,max,new,LA_MV,0.914027149321267,0.914027149321267,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,naive,4,max,new,EA_MI,0.5910633484162896,0.5910633484162896,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,naive,4,max,new,EA_MV,0.6312863606981254,0.6312863606981254,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,naive,4,max,new,LA_MI,0.8201357466063348,0.8201357466063348,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,naive,4,max,new,LA_MV,0.8827407886231415,0.8827407886231415,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,peer_context,4,max,new,EA_MI,0.6368778280542986,0.6368778280542986,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,peer_context,4,max,new,EA_MV,0.7149321266968326,0.7149321266968326,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,peer_context,4,max,new,LA_MI,0.8156108597285068,0.8156108597285068,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,peer_context,4,max,new,LA_MV,0.914027149321267,0.914027149321267,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,poolact,4,max,new,EA_MI,0.6787330316742082,0.6787330316742082,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,poolact,4,max,new,EA_MV,0.8099547511312217,0.8099547511312217,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,poolact,4,max,new,LA_MI,0.7771493212669683,0.7771493212669683,13,13,0,13,13,0,fraction
ablation,evidence_audit,cost_tight,poolact,4,max,new,LA_MV,0.9411764705882353,0.9411764705882353,13,13,0,13,13,0,fraction
ablation,restricted_search,cost_tight,cached,4,max,new,F1_MI,0.18812053959112782,0.18812053959112782,39,39,0,39,39,0,fraction
ablation,restricted_search,cost_tight,cached,4,max,new,F1_MV,0.18761826408885232,0.18761826408885232,39,39,0,39,39,0,fraction
ablation,restricted_search,cost_tight,graph_no_lock,4,max,new,F1_MI,0.20548928195987018,0.20548928195987018,39,39,0,39,39,0,fraction
ablation,restricted_search,cost_tight,graph_no_lock,4,max,new,F1_MV,0.20737628384687207,0.20737628384687207,39,39,0,39,39,0,fraction
ablation,restricted_search,cost_tight,naive,4,max,new,F1_MI,0.18252890899949722,0.18252890899949722,39,39,0,39,39,0,fraction
