task,model,regime,gap0,repeats,slot_ids
hpobench:nasbench101:A,kimi-k3,cost_free,99.25801088279468,3,a99cd8f6e20ead0bca748e7d;85d4674e659e85e9127c7619;9830b14ca2bc0234ccaec9bc
hpobench:nasbench101:A,glm-5.3,cost_free,99.57917213602603,3,34a7291660a3a9594cf802ff;1f1ebdb0283adcf914281854;08390cdc14e1b814fd7a7040
hpobench:nasbench101:A,qwen3.8-2.4t-a95b-fp8,cost_free,99.58075287547396,3,0c6aeed414b91bf978e353ae;446dc92b225b23df8409dae0;05ac7c4b7ecc054eb9a5f471
hpobench:nasbench101:A,deepseek-v4-flash-0731,cost_free,33.094441142149954,3,89c9112cc92151495e485abb;3e3dc1bbb05a0b2fb57e1299;bd8dc3368f85d96aa8038571
hpobench:nasbench101:A,gpt-5.6-sol,cost_free,99.43678507668942,3,faa3b7c6f9f7b43d8be3e52d;6a25957d9db09b4be005a16b;211955bf537e1435f63f4c48
hpobench:nasbench101:A,gemini-3.8-flash-medium,cost_free,99.85603220121546,3,969fe1ce3003231cbc407b3f;79cc896dcd18edab4d4dead8;e7f439080d5b824fc4f4192d
hpobench:nasbench101:A,kimi-k3,cost_moderate,98.07937050203148,3,78e60f178698a137b2a286f6;3f08914bf4c13de3b422abc9;23489433c6dfd091a89009ae
hpobench:nasbench101:A,glm-5.3,cost_moderate,99.00329905793436,3,33c1dd47d88ac28989205a8e;1fb629e410ff188b1113813b;176800541cddc15ae56d9558
hpobench:nasbench101:A,qwen3.8-2.4t-a95b-fp8,cost_moderate,98.19011641106074,3,a85f918a931938e03c5d4ed1;19c050829c2f48ac4e372863;cc8efb69b677e1f288c69d18
hpobench:nasbench101:A,deepseek-v4-flash-0731,cost_moderate,64.14010650417727,3,0016121d751a9d44a44dd77a;bd500d31c50418ea04277a7b;e49629a3ed66653d979389f9
hpobench:nasbench101:A,gpt-5.6-sol,cost_moderate,98.87831707910632,3,6c13095f733f329f97647193;7ba7cf52a58875c890aeaceb;bb597d915249329db2513aa6
hpobench:nasbench101:A,gemini-3.8-flash-medium,cost_moderate,99.04126693194041,3,36a27b0ad4e3e0961b736531;9fdbe9e576ebcc6a547331a4;c65870837c8c633ca9fd510e
hpobench:nasbench101:A,kimi-k3,cost_tight,90.51709132916491,3,af72bafbcf59e1c7d3e12f7f;7531072223cd13abe394de92;82915c0949f73760e42a8012
hpobench:nasbench101:A,glm-5.3,cost_tight,85.75664976157574,3,ad6d2b3666ca19a6d5c82bc9;0ed5e778c58594ca3ecada6e;254e15e08b0e899992302e10
hpobench:nasbench101:A,qwen3.8-2.4t-a95b-fp8,cost_tight,89.67543089383325,3,f757b3d20ee4817b9d43da0f;8e99bd42a1fd1032c1fc1617;160a483b7794ba750b59acc8
hpobench:nasbench101:A,deepseek-v4-flash-0731,cost_tight,90.12157318441591,3,647826dc5fe48b22f0a4c82f;0defdd7dc02dfb5da59dd731;f308767c5cdebb261e46e256
hpobench:nasbench101:A,gpt-5.6-sol,cost_tight,96.61437714610061,3,de03048f87839d4d9e9538ec;167f640fdcc1689258bdde76;eb2a0c2ccbbb79e8db988306
hpobench:nasbench101:A,gemini-3.8-flash-medium,cost_tight,94.2934854020858,3,ac1cc321afa6db33900250e4;007d49abd269972d71db27ef;70c9a3833557709e7c04f139
hpobench:nasbench101:B,kimi-k3,cost_free,97.45403467541674,3,3cb7ea92f1845a0b54a39df1;58d3f35856b820e86ff00480;0f4d39734df75adfd891cb46
hpobench:nasbench101:B,glm-5.3,cost_free,97.96934265174197,3,400e8b36c0a1407370b3f320;0532781cf7aa20fb3daeae30;ea180e37d8dab7afcabb3cc9
hpobench:nasbench101:B,qwen3.8-2.4t-a95b-fp8,cost_free,97.11340578334065,3,b01440b3907fa11cc207bf29;b7c8da901feae78ebaeefc76;9e3af6360cdb99c1252f6cb3
hpobench:nasbench101:B,deepseek-v4-flash-0731,cost_free,86.80291150450753,3,7bebb7ba98193f9b1673a1b8;e3b613d7797be0ca8cc5f37a;02bc14a3ea9c1930b6f012d4
hpobench:nasbench101:B,gpt-5.6-sol,cost_free,96.36228260254255,3,bf4540d9cf8f8e3621855f1b;9923d1d8b87228c056fad526;1fe3163012c5f2ea22f06005
hpobench:nasbench101:B,gemini-3.8-flash-medium,cost_free,98.01737836040152,3,be5d9f38a34fd82b0318f9d5;330f5164305f15a097249382;a5ab17df8d8d853c5f3d9375
hpobench:nasbench101:B,kimi-k3,cost_moderate,96.5849999942236,3,bd0ad0601335b53e80f432e3;1b777826ccfc8b82ff47a438;068466fba89e5646431c3993
hpobench:nasbench101:B,glm-5.3,cost_moderate,97.46713768575333,3,70ce073cf9fea7e9c20640d1;b254e55ebc0db56314b48b3e;9852c421fd4dde3551d54694
hpobench:nasbench101:B,qwen3.8-2.4t-a95b-fp8,cost_moderate,92.6503286732971,3,3aebae70ee5a0ae9033a1664;01b26c447ee2a5488b620346;a3db40851ee93016f00f7ea0
hpobench:nasbench101:B,deepseek-v4-flash-0731,cost_moderate,57.66626811847442,3,6c4fcbf467ffbc354381df55;286bcbaf084b172120323b35;f64de94c0fb93d5c739716ce
hpobench:nasbench101:B,gpt-5.6-sol,cost_moderate,97.09593943417916,3,5f1b07628516d0efbd159b0a;f0be17780ef06e2056b74994;5acc0ce7510e61d294d59a77
hpobench:nasbench101:B,gemini-3.8-flash-medium,cost_moderate,97.49333591010938,3,0ea8d9580bec4da12c72e296;1f5f678bd8a99fb7946237a6;8b2c956f1af3ddd252c3e129
hpobench:nasbench101:B,kimi-k3,cost_tight,95.75963768286513,3,4d9fb74089b13b3994002bec;a6bd73622be4fcce8a7d636f;95c81199fe6ecd3e3fe54371
hpobench:nasbench101:B,glm-5.3,cost_tight,89.99519151983051,3,06a8944315b48820e8accf91;dfde9d9a5a83a52c58cd906b;8d21839f6e37e5091d9fd510
hpobench:nasbench101:B,qwen3.8-2.4t-a95b-fp8,cost_tight,93.27044773845311,3,d40155d872ca3f715a2f3712;5681ef686b7b0da62a1b1b5f;455593377b8b24ce59f85c10
hpobench:nasbench101:B,deepseek-v4-flash-0731,cost_tight,85.178387704919,3,6a0f02f345774620ac0b5044;72e4e941b76489f47e90e04f;166e4efea6042fb189f92738
hpobench:nasbench101:B,gpt-5.6-sol,cost_tight,95.4626811606237,3,e5e311eb5fbf7231e978068b;d41ee6b539980fb0080a6bc8;fe23bdb5bd6c15a9406fd8f5
hpobench:nasbench101:B,gemini-3.8-flash-medium,cost_tight,96.87758538132299,3,cde1f2c02fdac5dabeb44731;d7408fd1b73d168c8fea1aa6;24c7610871c2dd75c0ff6f6d
hpobench:nasbench101:C,kimi-k3,cost_free,99.3639943591853,3,f9cbfa800b53d8f0edc02892;cbe08160e80074b669f18dba;3a13150944d86ea75ba41b6b
hpobench:nasbench101:C,glm-5.3,cost_free,99.62391238594967,3,024b1b6087bb7011f8c16c55;0330820eea3d19106c50a86e;bc1e3b1b2d5a5e71dd8c080f
hpobench:nasbench101:C,qwen3.8-2.4t-a95b-fp8,cost_free,99.29113936534323,3,a0e93c76d58ba514fa31822f;8a29dd46cfdcc666cb055c34;2430ec607c77955c605ce64e
hpobench:nasbench101:C,deepseek-v4-flash-0731,cost_free,60.41096368564639,3,4d123c2f2285b5bc16f147c3;d9b88d5ed17473eb7a1a27ca;0989a01e765f7b750113e2cf
hpobench:nasbench101:C,gpt-5.6-sol,cost_free,99.3344598176527,3,3cc5abc2bf0ecb9aec397c23;bc6be8a78473cc40b7aee6c8;b01dd4e53ccf6c6b08e18704
hpobench:nasbench101:C,gemini-3.8-flash-medium,cost_free,100.12602068392012,3,5850ac4811d22f872b580030;27aff4f2675c1b10c6eb2e44;b50ff6f062896ae4695dd367
hpobench:nasbench101:C,kimi-k3,cost_moderate,98.90717274882253,3,9bf51c2101cf6578f55f9264;f82657d52becd46c3f7cad0d;9062b4130dcff301260292f7
hpobench:nasbench101:C,glm-5.3,cost_moderate,96.73923897138721,3,6a67bb05f844b73833676007;ddafe40b9f41be6c49873b9c;039b1776b0978d5a97a3d3aa
hpobench:nasbench101:C,qwen3.8-2.4t-a95b-fp8,cost_moderate,98.69254609675835,3,0ca76df9035ef0aa3984b5ef;54f490b60bcb73ea00e80793;bcbe95d42faf231b2caa3b94
hpobench:nasbench101:C,deepseek-v4-flash-0731,cost_moderate,93.82502984351905,3,ea0573e949fb33226debb15e;b50841f7974d062de62c358a;9f725abddcb7ccfd4ecd5857
hpobench:nasbench101:C,gpt-5.6-sol,cost_moderate,98.99774846758419,3,b1fde5fbf80b4be0c2acfd43;ff1879dc0c8c4c619bfe39c7;1984dce6abde91fee22719af
hpobench:nasbench101:C,gemini-3.8-flash-medium,cost_moderate,99.69873595863622,3,888338708421a8a16ae6560b;aa8177f57241f1e21967d2ec;54578bbec3e0034a97dfe5de
hpobench:nasbench101:C,kimi-k3,cost_tight,98.62756659006727,3,cc3d83f8a7eb08699ba754ab;fb9ad9a88c203e72f8f42bb4;114afffb7ad7dbc393de87e4
hpobench:nasbench101:C,glm-5.3,cost_tight,96.53248663470089,3,526e527b2d1ca96d030f989c;eb0334431c6bc430ab8822ed;bace721caa18a7adb02a8c59
hpobench:nasbench101:C,qwen3.8-2.4t-a95b-fp8,cost_tight,98.49957615552954,3,7efdd971bdae908decb44eca;51e47d3df8d0b949e0fab09f;6f1c319c59af390fdba32295
hpobench:nasbench101:C,deepseek-v4-flash-0731,cost_tight,85.29309312606287,3,f11456ff6d9f288724b4f1b0;e23544862f77cc8f93c0b71c;4c72d6358a5610ebfdd98d76
hpobench:nasbench101:C,gpt-5.6-sol,cost_tight,99.01547153604999,3,55924e3c91421fcab6e889f8;89f359260d4239bdbea55847;0838ad42565eaf7010ac9f4a
hpobench:nasbench101:C,gemini-3.8-flash-medium,cost_tight,98.6905775179139,3,7e36024bd6da25cf033071ea;4bcad20aa421f7f29efc76d7;41e1e3332e19c0c470075284
hpobench:nasbench201:cifar10-valid,kimi-k3,cost_free,100.0,3,59d59b2ef8df77b8e9da4de2;4b21ba8bb4b18983f85a2009;a67ec80efcd10d21ddacbe0e
hpobench:nasbench201:cifar10-valid,glm-5.3,cost_free,99.39140096130323,3,1e88773dcba0f28e976e03d9;f78197959c06456283212929;4ea8095983a467af5b29c61e
hpobench:nasbench201:cifar10-valid,qwen3.8-2.4t-a95b-fp8,cost_free,99.30206543083482,3,5aa9bc1465b0631d925d5ac3;6428d242925f3cdbbed05000;9e34d2947945d5baff6498ea
hpobench:nasbench201:cifar10-valid,deepseek-v4-flash-0731,cost_free,60.77051492177475,3,520fdbebbf06e42089863ca3;20242745173e7a37a6f9aa39;9c5e675b1d5b7ad74054651c
