model,task,seed,rep,free_delivered,tight_delivered,free_stopping,tight_stopping,free_first_best,tight_first_best,free_final,tight_final
deepseek-v4-flash-0731,hpobench:nasbench101:A,2200,0,27,3,cap,natural,24,3,0.941038986047109,0.845886747042338
deepseek-v4-flash-0731,hpobench:nasbench101:A,2204,0,0,5,natural,natural,,5,0.0,0.9380007982254028
deepseek-v4-flash-0731,hpobench:nasbench101:A,2208,0,13,1,other,budget,7,1,,0.845886747042338
deepseek-v4-flash-0731,hpobench:nasbench101:B,2200,0,27,6,cap,other,26,6,0.9356971184412638,0.9366319378217062
deepseek-v4-flash-0731,hpobench:nasbench101:B,2204,0,24,3,cap,natural,17,3,0.9451121687889099,0.910523513952891
deepseek-v4-flash-0731,hpobench:nasbench101:B,2208,0,7,0,other,other,5,,0.8651509086290995,0.8863848845163981
deepseek-v4-flash-0731,hpobench:nasbench101:C,2200,0,20,2,other,budget,19,1,0.9392027060190836,0.845886747042338
deepseek-v4-flash-0731,hpobench:nasbench101:C,2204,0,1,0,other,other,1,,0.845886747042338,0.845886747042338
deepseek-v4-flash-0731,hpobench:nasbench101:C,2208,0,9,3,other,budget,3,3,,0.8955996036529541
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,2200,0,15,3,other,budget,1,2,0.9019866665364583,0.9019866665364583
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,2204,0,29,3,cap,other,24,1,0.9160666665039063,0.9019866665364583
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,2208,0,3,4,other,natural,2,1,,0.9019866665364583
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,2200,0,14,2,other,budget,13,2,0.7170000000000001,0.7350333333333333
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,2204,0,23,3,natural,budget,20,1,0.732,0.7090666666666667
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,2208,0,16,3,other,budget,12,3,0.7350333333333333,0.728
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,2200,0,29,4,cap,natural,26,1,0.46349999959309895,0.41111111097547737
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,2204,0,29,3,cap,budget,13,2,0.450166666531033,0.41111111097547737
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,2208,0,18,4,other,budget,18,3,0.4514444445122613,0.41111111097547737
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,2200,0,9,1,other,budget,4,1,0.851694443501808,0.8422037010656462
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,2204,0,1,1,other,budget,1,1,0.8422037010656462,0.8422037010656462
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,2208,0,6,1,other,other,5,1,,
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,2200,0,28,4,cap,natural,12,3,0.7162869031899145,0.7095618134107426
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,2204,0,9,6,other,budget,9,6,,0.7189575685208794
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,2208,0,1,1,other,other,1,1,0.6515821149829788,
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,2200,0,19,4,other,natural,17,4,,0.9593848918329154
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,2204,0,10,11,other,natural,9,10,,0.9192446861276256
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,2208,0,26,9,cap,natural,15,9,0.9246494806268429,0.7390547241710635
gemini-3.8-flash-medium,hpobench:nasbench101:A,2200,0,30,3,cap,natural,29,1,0.9456797440846761,0.9388020833333334
gemini-3.8-flash-medium,hpobench:nasbench101:A,2204,0,30,2,cap,budget,16,2,0.9444778362909952,0.845886747042338
gemini-3.8-flash-medium,hpobench:nasbench101:A,2208,0,29,2,cap,budget,24,2,0.9450453917185465,0.9331263502438863
gemini-3.8-flash-medium,hpobench:nasbench101:B,2200,0,30,3,cap,natural,21,2,0.944778323173523,0.9412393172581991
gemini-3.8-flash-medium,hpobench:nasbench101:B,2204,0,30,3,cap,budget,17,1,0.9412393172581991,0.9386351307233175
gemini-3.8-flash-medium,hpobench:nasbench101:B,2208,0,30,3,cap,natural,20,2,0.9456797440846761,0.9431089560190836
gemini-3.8-flash-medium,hpobench:nasbench101:C,2200,0,30,5,cap,natural,23,4,0.94264155626297,0.940872073173523
gemini-3.8-flash-medium,hpobench:nasbench101:C,2204,0,30,5,cap,natural,25,2,0.9505542318026224,0.93482905626297
gemini-3.8-flash-medium,hpobench:nasbench201:cifar10-valid,2200,0,26,3,natural,natural,7,2,0.9160666665039063,0.9111599998860676
gemini-3.8-flash-medium,hpobench:nasbench201:cifar10-valid,2204,0,26,3,natural,natural,12,3,0.9160666665039063,0.9111599999430336
gemini-3.8-flash-medium,hpobench:nasbench201:cifar10-valid,2208,0,30,2,cap,natural,11,2,0.9160666665039063,0.915533333235677
gemini-3.8-flash-medium,hpobench:nasbench201:cifar100,2200,0,24,2,natural,natural,2,2,0.7350333333333333,0.7350333333333333
gemini-3.8-flash-medium,hpobench:nasbench201:cifar100,2204,0,30,3,cap,natural,2,3,0.7350333333333333,0.7298333333333333
gemini-3.8-flash-medium,hpobench:nasbench201:cifar100,2208,0,17,2,natural,natural,2,2,0.7350333333333333,0.7350333333333333
gemini-3.8-flash-medium,hpobench:nasbench201:imagenet16-120,2200,0,30,2,cap,budget,21,2,0.45927777764214406,0.4613333331637912
gemini-3.8-flash-medium,hpobench:nasbench201:imagenet16-120,2204,0,30,3,cap,natural,19,3,0.46755555548773864,0.4431111110093858
gemini-3.8-flash-medium,hpobench:nasbench201:imagenet16-120,2208,0,30,3,cap,natural,29,3,0.4684444446478949,0.4627222222561307
gemini-3.8-flash-medium,hpobench:paramnet:adult:steps,2200,0,30,2,cap,natural,29,2,0.852740740812763,0.847842594810658
gemini-3.8-flash-medium,hpobench:paramnet:adult:steps,2204,0,30,2,cap,budget,23,2,0.8510462949499488,0.848787036312399
gemini-3.8-flash-medium,hpobench:paramnet:higgs:steps,2200,0,30,5,cap,natural,22,4,0.71777214463594,0.7161577551611236
gemini-3.8-flash-medium,hpobench:paramnet:higgs:steps,2204,0,30,4,cap,natural,29,2,0.7167804453656682,0.7121771288456265
gemini-3.8-flash-medium,hpobench:paramnet:higgs:steps,2208,0,30,10,cap,natural,29,10,0.7185516626473063,0.7157333985545649
gemini-3.8-flash-medium,hpobench:paramnet:letter:steps,2200,0,30,8,cap,natural,26,5,0.9446178188506212,0.9220488479252262
gemini-3.8-flash-medium,hpobench:paramnet:letter:steps,2204,0,30,9,cap,natural,27,8,0.9471506086451498,0.9220488479252262
glm-5.3,hpobench:nasbench101:A,2200,0,30,1,cap,budget,30,1,0.9433426658312479,0.845886747042338
glm-5.3,hpobench:nasbench101:A,2204,0,29,1,cap,budget,19,1,0.9430422186851501,0.845886747042338
glm-5.3,hpobench:nasbench101:A,2208,0,30,1,cap,budget,28,1,0.9429754416147867,0.845886747042338
glm-5.3,hpobench:nasbench101:B,2200,0,30,6,cap,natural,20,6,0.9460136294364929,0.89186030626297
glm-5.3,hpobench:nasbench101:B,2204,0,29,9,cap,natural,29,8,0.9407051205635071,0.9388020833333334
glm-5.3,hpobench:nasbench101:B,2208,0,30,2,cap,natural,18,2,0.944611390431722,0.9397035241127014
glm-5.3,hpobench:nasbench101:C,2200,0,30,4,cap,budget,30,3,0.9412393371264139,0.9376335342725118
glm-5.3,hpobench:nasbench101:C,2204,0,29,3,cap,other,12,1,0.944077213605245,0.9346621235211691
glm-5.3,hpobench:nasbench101:C,2208,0,30,4,cap,natural,16,4,0.9450453917185465,0.9056490461031595
glm-5.3,hpobench:nasbench201:cifar10-valid,2200,0,29,2,cap,budget,15,2,0.9160666665039063,0.915533333235677
glm-5.3,hpobench:nasbench201:cifar10-valid,2204,0,27,4,natural,natural,18,1,0.9146133330729167,0.9019866665364583
glm-5.3,hpobench:nasbench201:cifar10-valid,2208,0,29,3,cap,natural,14,3,0.9160666665039063,0.915533333235677
glm-5.3,hpobench:nasbench201:cifar100,2200,0,29,3,cap,natural,2,3,0.7350333333333333,0.7112333333333334
glm-5.3,hpobench:nasbench201:cifar100,2204,0,28,2,natural,natural,14,2,0.7350333333333333,0.7350333333333333
glm-5.3,hpobench:nasbench201:cifar100,2208,0,29,3,cap,budget,12,1,0.732,0.7258
glm-5.3,hpobench:nasbench201:imagenet16-120,2200,0,29,3,cap,budget,26,3,0.46755555548773864,0.4493888889567057
glm-5.3,hpobench:nasbench201:imagenet16-120,2204,0,30,3,cap,natural,27,3,0.46349999959309895,0.46355555528428827
glm-5.3,hpobench:nasbench201:imagenet16-120,2208,0,30,3,cap,budget,18,1,0.46377777757432714,0.41111111097547737
glm-5.3,hpobench:paramnet:adult:steps,2200,0,30,1,cap,budget,26,1,0.8515000006208817,0.8422037010656462
glm-5.3,hpobench:paramnet:adult:steps,2204,0,29,1,cap,budget,26,1,0.851509261512094,0.8422037010656462
