model,regime,n,score_complete_n,delivered_total,repeated_delivered_total,natural_stop_budget_fraction_mean,natural_stop_budget_fraction_median,natural_n,budget_n,cap_n,other_n,delivered_evaluations_mean,delivered_evaluations_median,unique_delivered_configs_mean,unique_delivered_configs_median,repeated_delivered_evaluations_mean,repeated_delivered_evaluations_median,withheld_evaluations_mean,withheld_evaluations_median,delivered_budget_fraction_mean,delivered_budget_fraction_median,first_best_fraction_mean,first_best_fraction_median,observations_after_first_best_mean,observations_after_first_best_median,strict_record_improvements_mean,strict_record_improvements_median,best_performance_gain_after_first3_mean,best_performance_gain_after_first3_median,best_performance_gain_after_first5_mean,best_performance_gain_after_first5_median,final_below_observed_best_n,final_below_observed_best_denom,final_above_observed_best_n,final_above_observed_best_denom,observed_best_reached_by_first3_n,observed_best_reached_by_first3_denom,observed_best_reached_by_first5_n,observed_best_reached_by_first5_denom,observed_best_reached_in_first_half_n,observed_best_reached_in_first_half_denom,score_source_counts
deepseek-v4-flash-0731,cost_free,27,20,413,1,,,2,0,8,17,15.296296296296296,15,15.25925925925926,15,0.037037037037037035,0,0,0,,,0.7549291795785704,0.8514492753623188,4.1923076923076925,2.5,3.962962962962963,4,0.03830975844802082,0.01362810825203542,0.03394086655230249,0.008966666547987223,0,19,0,19,6,26,9,26,10,26,"{""best_evaluated_fallback"": 2, ""matching_tool_call"": 17, ""missing"": 7, ""offline_final_answer"": 1}"
deepseek-v4-flash-0731,cost_tight,27,25,90,0,0.9609045120268641,0.9726208602463434,9,12,0,6,3.3333333333333335,3,3.3333333333333335,3,0,0,0.4444444444444444,0,0.7504930834863199,0.877240925341003,0.8163636363636364,1.0,0.64,0,1.2962962962962963,1,0.023598575960650525,0.0,0.007279644830654912,0.0,0,23,0,23,19,25,21,25,12,25,"{""best_evaluated_fallback"": 1, ""matching_tool_call"": 22, ""missing"": 2, ""offline_final_answer"": 2}"
gemini-3.8-flash-medium,cost_free,24,24,692,1,,,4,0,20,0,28.833333333333332,30.0,28.791666666666668,30.0,0.041666666666666664,0.0,0,0.0,,,0.6538612151314991,0.7166666666666666,9.458333333333334,8.5,5,5.0,0.011180364389068193,0.005367206236643052,0.006106728405551788,0.0034102108441293466,0,24,0,24,3,24,3,24,6,24,"{""best_evaluated_fallback"": 7, ""matching_tool_call"": 17}"
gemini-3.8-flash-medium,cost_tight,24,24,89,0,0.8953699862822767,0.9231551564708815,19,5,0,0,3.7083333333333335,3.0,3.7083333333333335,3.0,0,0.0,0.20833333333333334,0.0,0.8916714270876291,0.9223938465232432,0.8200231481481481,1.0,0.75,0.0,1.7083333333333333,1.0,0.004264380495106805,0.0,0.0009598946108464734,0.0,0,24,0,24,19,24,22,24,7,24,"{""best_evaluated_fallback"": 7, ""matching_tool_call"": 17}"
glm-5.3,cost_free,27,27,793,3,,,2,0,25,0,29.37037037037037,29,29.25925925925926,29,0.1111111111111111,0,0,0,,,0.7280544912728821,0.8275862068965517,7.925925925925926,5,5.851851851851852,6,0.04575866202539293,0.018299999999999872,0.02443517199635917,0.004941225051879883,0,27,0,27,1,27,1,27,6,27,"{""best_evaluated_fallback"": 1, ""matching_tool_call"": 26}"
glm-5.3,cost_tight,27,27,86,0,0.9257915139752163,0.9499155692745858,13,13,0,1,3.185185185185185,3,3.185185185185185,3,0,0,0.48148148148148145,0,0.8627423379406172,0.9228969118364251,0.8403292181069959,1.0,0.6296296296296297,0,1.1481481481481481,1,0.020910571162968978,0.0,8.903167865894459e-05,0.0,0,27,0,27,21,27,25,27,12,27,"{""best_evaluated_fallback"": 4, ""matching_tool_call"": 23}"
gpt-5.6-sol,cost_free,27,27,586,0,,,22,0,5,0,21.703703703703702,22,21.703703703703702,22,0,0,0,0,,,0.6938347875496338,0.7407407407407407,6.185185185185185,5,4.444444444444445,4,0.005842801944771105,0.0036725401878356934,0.004483226300809468,0.002638888090297109,0,27,0,27,0,27,0,27,7,27,"{""best_evaluated_fallback"": 5, ""matching_tool_call"": 22}"
gpt-5.6-sol,cost_tight,27,27,96,0,0.9522729976940326,0.9640602379362161,19,8,0,0,3.5555555555555554,3,3.5555555555555554,3,0,0,0.2962962962962963,0,0.8638657127577918,0.9460355980704533,0.7084656084656085,0.6666666666666666,1.2592592592592593,1,1.1481481481481481,1,0.0028856300423374063,0.0,2.349453207887112e-05,0.0,0,27,0,27,22,27,26,27,18,27,"{""best_evaluated_fallback"": 5, ""matching_tool_call"": 22}"
kimi-k3,cost_free,27,27,639,5,,,16,0,11,0,23.666666666666668,27,23.48148148148148,26,0.18518518518518517,0,0,0,,,0.6760036373857241,0.7272727272727273,6.074074074074074,6,4.888888888888889,6,0.02115994295197611,0.006212965500575485,0.00988538852794121,0.004740893840789795,0,27,0,27,3,27,5,27,7,27,"{""best_evaluated_fallback"": 8, ""matching_tool_call"": 19}"
kimi-k3,cost_tight,27,27,91,0,0.9231938356229694,0.9450761898828594,15,12,0,0,3.3703703703703702,3,3.3703703703703702,3,0,0,0.4444444444444444,0,0.8023648227010906,0.8875218240243694,0.8053113553113553,0.9,0.7692307692307693,0.5,1.2592592592592593,1,0.004014612142258221,0.0,0.0014777830338887567,0.0,0,26,0,26,19,26,24,26,16,26,"{""best_evaluated_fallback"": 6, ""matching_tool_call"": 20, ""offline_final_answer"": 1}"
