model,scenario,regime,metric,reported_unit,complete_three_strategy,naive,naive_raw,naive_complete_items,naive_expected_items,naive_cohort,naive_source_input,naive_source_row,cached,cached_raw,cached_complete_items,cached_expected_items,cached_cohort,cached_source_input,cached_source_row,poolact,poolact_raw,poolact_complete_items,poolact_expected_items,poolact_cohort,poolact_source_input,poolact_source_row,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
deepseek-v4-flash-0731,evidence_audit,cost_moderate,evidence_acc_mi,0-100,True,66.7420814479638,0.667420814479638,13,13,deepseek_rerun_20260912,rerun_aggregate,5,71.26696832579185,0.7126696832579186,13,13,deepseek_rerun_20260912,rerun_aggregate,1,94.68325791855203,0.9468325791855203,13,13,deepseek_rerun_20260912,rerun_aggregate,9,27.941176470588236,41.86440677966101,23.416289592760176,32.857142857142854,23.416289592760176
deepseek-v4-flash-0731,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,69.68325791855203,0.6968325791855203,13,13,deepseek_rerun_20260912,rerun_aggregate,6,72.39819004524887,0.7239819004524887,13,13,deepseek_rerun_20260912,rerun_aggregate,2,94.57013574660633,0.9457013574660633,13,13,deepseek_rerun_20260912,rerun_aggregate,10,24.8868778280543,35.71428571428572,22.171945701357465,30.624999999999993,22.171945701357465
deepseek-v4-flash-0731,evidence_audit,cost_moderate,label_acc_mi,0-100,True,85.97285067873304,0.8597285067873304,13,13,deepseek_rerun_20260912,rerun_aggregate,7,89.47963800904976,0.8947963800904977,13,13,deepseek_rerun_20260912,rerun_aggregate,3,96.15384615384616,0.9615384615384616,13,13,deepseek_rerun_20260912,rerun_aggregate,11,10.18099547511312,11.842105263157897,6.67420814479639,7.458912768647297,6.67420814479639
deepseek-v4-flash-0731,evidence_audit,cost_moderate,label_acc_mv,0-100,True,91.8552036199095,0.918552036199095,13,13,deepseek_rerun_20260912,rerun_aggregate,8,93.21266968325791,0.9321266968325792,13,13,deepseek_rerun_20260912,rerun_aggregate,4,96.38009049773756,0.9638009049773756,13,13,deepseek_rerun_20260912,rerun_aggregate,12,4.52488687782806,4.926108374384253,3.167420814479638,3.398058252427183,3.167420814479638
deepseek-v4-flash-0731,evidence_audit,cost_tight,evidence_acc_mi,0-100,True,60.972850678733025,0.6097285067873303,13,13,deepseek_rerun_20260912,rerun_aggregate,17,58.93665158371041,0.5893665158371041,13,13,deepseek_rerun_20260912,rerun_aggregate,13,70.58823529411764,0.7058823529411764,13,13,deepseek_rerun_20260912,rerun_aggregate,21,9.615384615384615,15.76994434137291,11.651583710407232,19.76967370441458,9.615384615384615
deepseek-v4-flash-0731,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,61.990950226244344,0.6199095022624435,13,13,deepseek_rerun_20260912,rerun_aggregate,18,61.990950226244344,0.6199095022624435,13,13,deepseek_rerun_20260912,rerun_aggregate,14,71.49321266968326,0.7149321266968326,13,13,deepseek_rerun_20260912,rerun_aggregate,22,9.502262443438914,15.328467153284663,9.502262443438914,15.328467153284663,9.502262443438914
deepseek-v4-flash-0731,evidence_audit,cost_tight,label_acc_mi,0-100,True,86.87782805429865,0.8687782805429864,13,13,deepseek_rerun_20260912,rerun_aggregate,19,84.61538461538461,0.8461538461538461,13,13,deepseek_rerun_20260912,rerun_aggregate,15,90.72398190045249,0.9072398190045249,13,13,deepseek_rerun_20260912,rerun_aggregate,23,3.8461538461538436,4.427083333333326,6.108597285067874,7.219251336898402,3.8461538461538436
deepseek-v4-flash-0731,evidence_audit,cost_tight,label_acc_mv,0-100,True,89.14027149321267,0.8914027149321266,13,13,deepseek_rerun_20260912,rerun_aggregate,20,89.59276018099547,0.8959276018099547,13,13,deepseek_rerun_20260912,rerun_aggregate,16,92.76018099547511,0.9276018099547512,13,13,deepseek_rerun_20260912,rerun_aggregate,24,3.619909502262453,4.0609137055837685,3.167420814479649,3.535353535353547,3.167420814479649
deepseek-v4-flash-0731,restricted_search,cost_moderate,f1_mi,0-100,True,58.35880350586233,0.5835880350586233,39,39,deepseek_rerun_20260912,rerun_aggregate,27,60.883686030744855,0.6088368603074485,39,39,deepseek_rerun_20260912,rerun_aggregate,25,60.01585016290899,0.6001585016290899,39,39,deepseek_rerun_20260912,rerun_aggregate,29,1.6570466570466569,2.839411635435951,-0.8678358678358644,-1.4253996832544358,-0.8678358678358644
deepseek-v4-flash-0731,restricted_search,cost_moderate,f1_mv,0-100,True,60.27179791885674,0.6027179791885674,39,39,deepseek_rerun_20260912,rerun_aggregate,28,61.79989944695827,0.6179989944695827,39,39,deepseek_rerun_20260912,rerun_aggregate,26,61.325928972987796,0.613259289729878,39,39,deepseek_rerun_20260912,rerun_aggregate,30,1.0541310541310578,1.748962351430472,-0.4739704739704753,-0.7669437623879505,-0.4739704739704753
