model,scenario,regime,metric,reported_unit,complete_three_strategy,naive,naive_raw,naive_complete_items,naive_expected_items,naive_cohort,naive_source_input,naive_source_row,cached,cached_raw,cached_complete_items,cached_expected_items,cached_cohort,cached_source_input,cached_source_row,poolact,poolact_raw,poolact_complete_items,poolact_expected_items,poolact_cohort,poolact_source_input,poolact_source_row,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
deepseek-v4-flash-0731,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,69.68325791855203,0.6968325791855203,13,13,deepseek_rerun_20260912,rerun_aggregate,6,72.39819004524887,0.7239819004524887,13,13,deepseek_rerun_20260912,rerun_aggregate,2,94.57013574660633,0.9457013574660633,13,13,deepseek_rerun_20260912,rerun_aggregate,10,24.8868778280543,35.71428571428572,22.171945701357465,30.624999999999993,22.171945701357465
deepseek-v4-flash-0731,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,61.990950226244344,0.6199095022624435,13,13,deepseek_rerun_20260912,rerun_aggregate,18,61.990950226244344,0.6199095022624435,13,13,deepseek_rerun_20260912,rerun_aggregate,14,71.49321266968326,0.7149321266968326,13,13,deepseek_rerun_20260912,rerun_aggregate,22,9.502262443438914,15.328467153284663,9.502262443438914,15.328467153284663,9.502262443438914
deepseek-v4-flash-0731,restricted_search,cost_moderate,f1_mv,0-100,True,60.27179791885674,0.6027179791885674,39,39,deepseek_rerun_20260912,rerun_aggregate,28,61.79989944695827,0.6179989944695827,39,39,deepseek_rerun_20260912,rerun_aggregate,26,61.325928972987796,0.613259289729878,39,39,deepseek_rerun_20260912,rerun_aggregate,30,1.0541310541310578,1.748962351430472,-0.4739704739704753,-0.7669437623879505,-0.4739704739704753
deepseek-v4-flash-0731,restricted_search,cost_tight,f1_mv,0-100,True,2.564102564102564,0.02564102564102564,39,39,deepseek_original,old_absolute,771,4.2735042735042725,0.04273504273504273,39,39,deepseek_original,old_absolute,760,7.440925087983912,0.07440925087983911,39,39,deepseek_original,old_absolute,782,4.876822523881348,190.19607843137254,3.1674208144796387,74.11764705882355,3.1674208144796387
deepseek-v4-flash-0731,tuning,cost_moderate,gap0_mi,Gap points,True,96.72433990160577,96.72433990160577,3,3,deepseek_rerun_20260912,rerun_aggregate,38,96.26514512867054,96.26514512867054,3,3,deepseek_rerun_20260912,rerun_aggregate,32,98.73849270264257,98.73849270264257,3,3,deepseek_rerun_20260912,rerun_aggregate,44,2.0141528010368006,2.0823639665938476,2.4733475739720348,2.5693074795307247,2.0141528010368006
deepseek-v4-flash-0731,tuning,cost_tight,gap0_mi,Gap points,True,83.20315718707613,83.20315718707613,3,3,deepseek_rerun_20260912,rerun_aggregate,56,82.9839402286484,82.9839402286484,3,3,deepseek_rerun_20260912,rerun_aggregate,50,95.29212559185709,95.29212559185709,3,3,deepseek_rerun_20260912,rerun_aggregate,62,12.088968404780957,14.529458753109337,12.308185363208693,14.832008855322542,12.088968404780957
gemini-3.8-flash-medium,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,80.54298642533936,0.8054298642533937,13,13,gemini_snapshot,gemini_absolute,56,87.33031674208145,0.8733031674208145,13,13,gemini_snapshot,gemini_absolute,48,97.73755656108597,0.9773755656108597,13,13,gemini_snapshot,gemini_absolute,64,17.194570135746602,21.34831460674156,10.407239819004522,11.917098445595853,10.407239819004522
gemini-3.8-flash-medium,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,68.77828054298642,0.6877828054298643,13,13,gemini_snapshot,gemini_absolute,80,71.49321266968326,0.7149321266968326,13,13,gemini_snapshot,gemini_absolute,72,73.75565610859728,0.7375565610859728,13,13,gemini_snapshot,gemini_absolute,88,4.977375565610853,7.2368421052631415,2.262443438914019,3.164556962025311,2.262443438914019
gemini-3.8-flash-medium,restricted_search,cost_moderate,f1_mv,0-100,False,,,38,39,gemini_snapshot,gemini_absolute,100,68.10840575546459,0.6810840575546458,39,39,gemini_snapshot,gemini_absolute,96,68.04328569034452,0.6804328569034451,39,39,gemini_snapshot,gemini_absolute,104,,,-0.06512006512007229,-0.09561237617846663,
gemini-3.8-flash-medium,restricted_search,cost_tight,f1_mv,0-100,True,20.4323780794369,0.20432378079436903,39,39,gemini_snapshot,gemini_absolute,112,20.89857854563737,0.2089857854563737,39,39,gemini_snapshot,gemini_absolute,108,33.399411046469865,0.3339941104646987,39,39,gemini_snapshot,gemini_absolute,116,12.967032967032965,63.46316085489314,12.500832500832498,59.81666395890872,12.500832500832498
