scenario,model,free,moderate,tight,complete,free_minus_tight,relative_loss_pct,monotonic_decline
Search F1,kimi-k3,63.59106490250729,49.616866256672864,15.75611066344346,True,47.83495423906383,75.22276016670037,True
Search F1,glm-5.3,65.11024967511672,53.276089447682814,19.234139483938034,True,45.87611019117868,70.45912190490529,True
Search F1,qwen3.8-2.4t-a95b-fp8,58.14860781621458,50.982721951698586,18.470930090591654,True,39.67767772562293,68.23495732009411,True
Search F1,deepseek-v4-flash-0731,43.81339584401631,42.11167290941666,16.918418675066537,True,26.894977168949776,61.385283315406106,True
Search F1,gpt-5.6-sol,64.01135796784467,53.059971186482066,15.54855566136791,True,48.46280230647676,75.70969253741103,True
Search F1,gemini-3.8-flash-medium,72.02998094214854,55.018925474203485,17.83166068419896,True,54.198320257949575,75.2441130054989,True
Audit EA,kimi-k3,89.4419306184012,68.77828054298642,51.58371040723983,True,37.858220211161374,42.32715008431702,True
Audit EA,glm-5.3,68.47662141779789,67.87330316742081,50.2262443438914,True,18.250377073906485,26.651982378854623,True
Audit EA,qwen3.8-2.4t-a95b-fp8,91.8552036199095,74.96229260935142,58.37104072398189,True,33.48416289592761,36.45320197044336,True
Audit EA,deepseek-v4-flash-0731,63.95173453996983,58.67269984917044,47.51131221719457,True,16.440422322775255,25.70754716981131,True
Audit EA,gpt-5.6-sol,70.43740573152337,65.91251885369532,54.14781297134238,True,16.289592760180987,23.126338329764447,True
Audit EA,gemini-3.8-flash-medium,97.5867269984917,82.8054298642534,72.09653092006033,True,25.490196078431367,26.12055641421947,True
Audit LA,kimi-k3,92.60935143288084,85.36953242835595,79.48717948717949,True,13.122171945701353,14.169381107491851,True
Audit LA,glm-5.3,69.23076923076923,76.01809954751131,73.60482654600301,True,-4.3740573152337845,-6.318082788671022,False
Audit LA,qwen3.8-2.4t-a95b-fp8,94.7209653092006,88.23529411764706,83.10708898944193,True,11.61387631975866,12.261146496815275,True
Audit LA,deepseek-v4-flash-0731,66.81749622926093,75.56561085972852,70.2865761689291,True,-3.469079939668177,-5.191873589164789,False
Audit LA,gpt-5.6-sol,85.97285067873302,87.93363499245852,78.73303167420815,True,7.239819004524875,8.421052631578934,False
Audit LA,gemini-3.8-flash-medium,97.28506787330316,92.3076923076923,88.23529411764706,True,9.049773755656105,9.302325581395346,True
HPO Gap0,kimi-k3,98.51291031515852,94.23010363061042,89.68371695757193,True,8.82919335758659,8.962473374647638,True
HPO Gap0,glm-5.3,97.91114276048467,96.15455969143889,86.06688865843708,True,11.844254102047586,12.09694194972437,True
HPO Gap0,qwen3.8-2.4t-a95b-fp8,97.46520547494104,95.13336915970626,85.70999007309636,True,11.75521540184468,12.060935330267194,True
HPO Gap0,deepseek-v4-flash-0731,61.093958124966825,74.01985210220249,75.80946916471585,True,-14.715511039749025,-24.08668793344287,False
HPO Gap0,gpt-5.6-sol,97.9732348609594,96.61109513450062,91.66092926519349,True,6.312305595765906,6.442887799636438,True
HPO Gap0,gemini-3.8-flash-medium,,,,False,,,
