model,regime,search_f1,audit_ea,audit_la,hpo_gap0
kimi-k3,cost_free,63.59106490250729,92.00603318250377,95.02262443438913,98.51291031515852
kimi-k3,cost_moderate,49.616866256672864,71.94570135746606,89.59276018099547,94.23010363061042
kimi-k3,cost_tight,15.75611066344346,52.6395173453997,81.44796380090497,89.68371695757193
glm-5.3,cost_free,65.11024967511672,86.42533936651584,86.87782805429865,97.91114276048467
glm-5.3,cost_moderate,53.863173596410796,75.1131221719457,85.21870286576168,96.15455969143889
glm-5.3,cost_tight,19.234139483938034,51.58371040723983,75.86726998491704,86.06688865843708
qwen3.8-2.4t-a95b-fp8,cost_free,58.14860781621458,91.8552036199095,94.7209653092006,97.46520547494104
qwen3.8-2.4t-a95b-fp8,cost_moderate,50.982721951698586,74.96229260935144,88.23529411764706,95.13336915970626
qwen3.8-2.4t-a95b-fp8,cost_tight,18.470930090591654,58.371040723981906,83.10708898944192,85.70999007309636
deepseek-v4-flash-0731,cost_free,43.81339584401631,63.95173453996983,66.81749622926093,61.093958124966825
deepseek-v4-flash-0731,cost_moderate,42.11167290941666,58.67269984917044,75.56561085972851,74.01985210220249
deepseek-v4-flash-0731,cost_tight,16.91841867506654,47.511312217194565,70.2865761689291,75.80946916471585
gpt-5.6-sol,cost_free,64.01135796784467,70.43740573152337,85.97285067873302,97.9732348609594
gpt-5.6-sol,cost_moderate,53.059971186482066,65.91251885369532,87.93363499245852,96.61109513450062
gpt-5.6-sol,cost_tight,15.54855566136791,54.14781297134238,78.73303167420815,91.66092926519349
gemini-3.8-flash-medium,cost_free,72.02998094214855,97.5867269984917,97.28506787330316,98.16108984350721
gemini-3.8-flash-medium,cost_moderate,55.01892547420347,82.80542986425338,92.3076923076923,97.27262466233921
gemini-3.8-flash-medium,cost_tight,17.83166068419896,72.09653092006033,88.23529411764706,93.85798234517002
