table,record,model,system,scenario,regime,strategy,slice_kind,slice,metric,field,historical,new,changed,delta,historical_identity,new_identity
absolute_settings.csv,2377,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,full_mean,0.6847662141779789,0.8642533936651584,True,0.17948717948717952,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2377,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,known_subset_mean,0.6847662141779789,0.8642533936651584,True,0.17948717948717952,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2378,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,label_acc,full_mean,0.6923076923076923,0.8687782805429864,True,0.17647058823529416,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2378,glm-5.3,expgym,evidence_audit,cost_free,single,all,all,label_acc,known_subset_mean,0.6923076923076923,0.8687782805429864,True,0.17647058823529416,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2379,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,full_mean,0.6787330316742082,0.751131221719457,True,0.07239819004524883,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2379,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,evidence_acc,known_subset_mean,0.6787330316742082,0.751131221719457,True,0.07239819004524883,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2380,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,label_acc,full_mean,0.7601809954751131,0.8521870286576169,True,0.09200603318250378,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2380,glm-5.3,expgym,evidence_audit,cost_moderate,single,all,all,label_acc,known_subset_mean,0.7601809954751131,0.8521870286576169,True,0.09200603318250378,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2381,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,full_mean,0.502262443438914,0.5158371040723982,True,0.013574660633484226,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2381,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,known_subset_mean,0.502262443438914,0.5158371040723982,True,0.013574660633484226,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2382,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,label_acc,full_mean,0.7360482654600301,0.7586726998491704,True,0.022624434389140302,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2382,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,label_acc,known_subset_mean,0.7360482654600301,0.7586726998491704,True,0.022624434389140302,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2383,glm-5.3,expgym,evidence_audit,cost_free,single,family,evidence_audit,evidence_acc,full_mean,0.6847662141779789,0.8642533936651584,True,0.17948717948717952,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2383,glm-5.3,expgym,evidence_audit,cost_free,single,family,evidence_audit,evidence_acc,known_subset_mean,0.6847662141779789,0.8642533936651584,True,0.17948717948717952,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2384,glm-5.3,expgym,evidence_audit,cost_free,single,family,evidence_audit,label_acc,full_mean,0.6923076923076923,0.8687782805429864,True,0.17647058823529416,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2384,glm-5.3,expgym,evidence_audit,cost_free,single,family,evidence_audit,label_acc,known_subset_mean,0.6923076923076923,0.8687782805429864,True,0.17647058823529416,published-297c3d0-historical-scoring,official-n4-rollback-20260919
absolute_settings.csv,2385,glm-5.3,expgym,evidence_audit,cost_moderate,single,family,evidence_audit,evidence_acc,full_mean,0.6787330316742082,0.751131221719457,True,0.07239819004524883,published-297c3d0-historical-scoring,official-n4-rollback-20260919
