model,scenario,regime,metric,reported_unit,complete_three_strategy,cached,naive,poolact,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
deepseek-v4-flash-0731,evidence_audit,cost_moderate,evidence_acc_mi,0-100,True,71.26696832579185,66.7420814479638,94.68325791855203,27.941176470588232,41.86440677966101,23.41628959276018,32.857142857142854,23.41628959276018
deepseek-v4-flash-0731,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,72.39819004524887,69.68325791855203,94.57013574660633,24.886877828054295,35.71428571428572,22.17194570135746,30.624999999999993,22.17194570135746
deepseek-v4-flash-0731,evidence_audit,cost_moderate,label_acc_mi,0-100,True,89.47963800904976,85.97285067873304,96.15384615384616,10.180995475113122,11.842105263157897,6.6742081447963955,7.458912768647297,6.6742081447963955
deepseek-v4-flash-0731,evidence_audit,cost_moderate,label_acc_mv,0-100,True,93.21266968325791,91.8552036199095,96.38009049773756,4.524886877828052,4.92610837438423,3.167420814479641,3.398058252427183,3.167420814479641
deepseek-v4-flash-0731,evidence_audit,cost_tight,evidence_acc_mi,0-100,True,58.93665158371041,60.972850678733025,70.58823529411764,9.615384615384613,15.76994434137291,11.65158371040723,19.76967370441458,9.615384615384613
deepseek-v4-flash-0731,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,61.990950226244344,61.990950226244344,71.49321266968326,9.502262443438916,15.328467153284663,9.502262443438916,15.328467153284663,9.502262443438916
deepseek-v4-flash-0731,evidence_audit,cost_tight,label_acc_mi,0-100,True,84.61538461538461,86.87782805429865,90.72398190045249,3.8461538461538396,4.427083333333326,6.108597285067873,7.219251336898402,3.8461538461538396
deepseek-v4-flash-0731,evidence_audit,cost_tight,label_acc_mv,0-100,True,89.59276018099547,89.14027149321267,92.76018099547511,3.619909502262445,4.0609137055837685,3.167420814479641,3.535353535353547,3.167420814479641
deepseek-v4-flash-0731,restricted_search,cost_moderate,f1_mi,0-100,True,60.883686030744855,58.35880350586233,60.01585016290899,1.6570466570466564,2.839411635435951,-0.8678358678358649,-1.4253996832544358,-0.8678358678358649
deepseek-v4-flash-0731,restricted_search,cost_moderate,f1_mv,0-100,True,61.79989944695827,60.27179791885674,61.325928972987796,1.0541310541310551,1.748962351430472,-0.47397047397047487,-0.7669437623879505,-0.47397047397047487
deepseek-v4-flash-0731,restricted_search,cost_tight,f1_mi,0-100,True,4.700854700854701,2.564102564102564,5.49270990447461,2.9286073403720465,114.21568627450984,0.7918552036199094,16.844919786096256,0.7918552036199094
deepseek-v4-flash-0731,restricted_search,cost_tight,f1_mv,0-100,True,4.273504273504273,2.564102564102564,7.440925087983912,4.876822523881348,190.1960784313726,3.1674208144796383,74.11764705882354,3.1674208144796383
deepseek-v4-flash-0731,tuning,cost_moderate,gap0_bon,Gap points,True,98.80330717371424,98.70192466613308,98.99799338949595,0.2960687233628647,0.299962462094161,0.19468621578170087,0.19704422994608617,0.19468621578170087
deepseek-v4-flash-0731,tuning,cost_moderate,gap0_mi,Gap points,True,96.26514512867054,96.72433990160577,98.73849270264257,2.0141528010368006,2.0823639665938476,2.4733475739720348,2.5693074795307247,2.0141528010368006
deepseek-v4-flash-0731,tuning,cost_moderate,gap_bon,Gap points,True,98.80330717371424,98.70192466613308,98.99799338949595,0.2960687233628647,0.299962462094161,0.19468621578170087,0.19704422994608617,0.19468621578170087
deepseek-v4-flash-0731,tuning,cost_moderate,gap_mi,Gap points,True,96.26514512867054,96.72433990160577,98.73849270264257,2.0141528010368006,2.0823639665938476,2.4733475739720348,2.5693074795307247,2.0141528010368006
deepseek-v4-flash-0731,tuning,cost_moderate,raw_perf_bon,0-100,True,94.22520487396807,94.20814006416887,94.27417295950431,0.06603289533543943,0.07009255812764348,0.0489680855362451,0.05196920038723629,0.0489680855362451
deepseek-v4-flash-0731,tuning,cost_moderate,raw_perf_mi,0-100,True,93.11602259123767,93.34852425036607,94.15991532581825,0.8113910754521783,0.8692061090071146,1.0438927345805808,1.1210667139027963,0.8113910754521783
