model,scenario,regime,metric,reported_unit,complete_three_strategy,cached,naive,poolact,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
deepseek-v4-flash-0731,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,72.39819004524887,69.68325791855203,94.57013574660633,24.886877828054295,35.71428571428572,22.17194570135746,30.624999999999993,22.17194570135746
deepseek-v4-flash-0731,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,61.990950226244344,61.990950226244344,71.49321266968326,9.502262443438916,15.328467153284663,9.502262443438916,15.328467153284663,9.502262443438916
deepseek-v4-flash-0731,restricted_search,cost_moderate,f1_mv,0-100,True,61.79989944695827,60.27179791885674,61.325928972987796,1.0541310541310551,1.748962351430472,-0.47397047397047487,-0.7669437623879505,-0.47397047397047487
deepseek-v4-flash-0731,restricted_search,cost_tight,f1_mv,0-100,True,4.273504273504273,2.564102564102564,7.440925087983912,4.876822523881348,190.1960784313726,3.1674208144796383,74.11764705882354,3.1674208144796383
deepseek-v4-flash-0731,tuning,cost_moderate,gap0_mi,Gap points,True,96.26514512867054,96.72433990160577,98.73849270264257,2.0141528010368006,2.0823639665938476,2.4733475739720348,2.5693074795307247,2.0141528010368006
deepseek-v4-flash-0731,tuning,cost_tight,gap0_mi,Gap points,True,82.9839402286484,83.20315718707613,95.29212559185709,12.088968404780957,14.529458753109337,12.308185363208693,14.832008855322542,12.088968404780957
gemini-3.8-flash-medium,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,87.33031674208145,80.54298642533936,97.73755656108597,17.194570135746602,21.34831460674156,10.407239819004516,11.917098445595853,10.407239819004516
gemini-3.8-flash-medium,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,71.49321266968326,68.77828054298642,73.7556561085973,4.9773755656108705,7.236842105263164,2.2624434389140333,3.1645569620253333,2.2624434389140333
gemini-3.8-flash-medium,restricted_search,cost_moderate,f1_mv,0-100,True,68.10840575546457,65.20242284948168,68.04328569034452,2.8408628408628402,4.356989689510327,-0.06512006512005541,-0.09561237617844442,-0.06512006512005541
gemini-3.8-flash-medium,restricted_search,cost_tight,f1_mv,0-100,True,20.89857854563737,20.4323780794369,33.399411046469865,12.967032967032964,63.46316085489312,12.500832500832495,59.8166639589087,12.500832500832495
gemini-3.8-flash-medium,tuning,cost_moderate,gap0_mi,Gap points,True,98.82435831031965,98.82487901510568,98.84083475590657,0.015955740800890794,0.01614546960229113,0.01647644558691752,0.016672453905730578,0.015955740800890794
gemini-3.8-flash-medium,tuning,cost_tight,gap0_mi,Gap points,True,96.04525993998818,95.93106912372679,97.57123446933822,1.640165345611436,1.7097332080142191,1.5259745293500373,1.5888077457477001,1.5259745293500373
