model,family,regime,n,mean_score,mean_attempted_feedback,mean_visible_feedback,mean_unique_articles,natural_stop,budget_forced_stop,horizon_forced_stop,other_stop,natural_stop_mean_score,budget_stop_mean_score,horizon_stop_mean_score,natural_stop_imperfect,natural_stop_zero,natural_stop_mean_utilization,total_attempted,total_delivered,total_withheld,total_article_deliveries,trajectories_with_repeat_articles,total_repeat_article_deliveries,total_repeat_article_via_new_query,total_repeat_article_via_same_query
deepseek-v4-flash-0731,whatis,cost_free,34,0.36907308377896614,17.08823529411765,17.08823529411765,11,17,0,12,5,0.6313725490196078,,0.041666666666666664,10,2,,581,581,0,532,21,158,153,5
deepseek-v4-flash-0731,whatis,cost_moderate,34,0.3335164835164835,12.058823529411764,11.558823529411764,8,13,17,1,3,0.6923076923076923,0.1376212023270847,0.0,7,1,0.6516648732689329,410,393,17,361,20,89,87,2
deepseek-v4-flash-0731,whatis,cost_tight,34,0.15926916221033868,4.294117647058823,3.4705882352941178,2.676470588235294,4,28,0,2,0.8333333333333333,0.07435064935064935,,2,0,0.994188981063457,146,118,28,115,9,24,23,1
deepseek-v4-flash-0731,whois,cost_free,39,0.49834087481146305,17.94871794871795,17.94871794871795,11.615384615384615,22,0,10,7,0.7106951871657754,,0.28,9,4,,700,700,0,636,29,183,181,2
deepseek-v4-flash-0731,whois,cost_moderate,39,0.4974861739567622,13.435897435897436,12.897435897435898,8.102564102564102,12,21,1,5,0.7973856209150326,0.373015873015873,0.0,4,1,0.614476110543797,524,503,21,464,21,148,145,3
deepseek-v4-flash-0731,whois,cost_tight,39,0.17782805429864254,4.948717948717949,3.9743589743589745,2.641025641025641,1,38,0,0,1.0,0.1561919504643963,,0,0,0.9677892863750458,193,155,38,139,13,36,36,0
gemini-3.8-flash-medium,whatis,cost_free,34,0.6992695117262592,19.205882352941178,19.205882352941178,16.705882352941178,23,0,11,0,0.9420289855072463,,0.1916815210932858,2,0,,653,653,0,650,11,82,82,0
gemini-3.8-flash-medium,whatis,cost_moderate,34,0.4613197260256084,10.558823529411764,10.176470588235293,8.941176470588236,21,13,0,0,0.6516605088033659,0.15384615384615385,,9,3,0.8557798753355053,359,346,13,341,8,37,37,0
gemini-3.8-flash-medium,whatis,cost_tight,34,0.1484848484848485,3.8529411764705883,2.9705882352941178,2.5588235294117645,4,30,0,0,0.8666666666666667,0.05272727272727273,,2,0,0.9922802783057301,131,101,30,101,5,14,14,0
gemini-3.8-flash-medium,whois,cost_free,39,0.7386339151045034,17.41025641025641,17.41025641025641,14.564102564102564,27,0,12,0,0.8605664488017429,,0.4642857142857143,4,3,,679,679,0,669,14,101,100,1
gemini-3.8-flash-medium,whois,cost_moderate,39,0.6276652541358424,10.076923076923077,9.820512820512821,8.512820512820513,29,10,0,0,0.7475498245275122,0.28,,10,4,0.8114711069063038,393,383,10,381,13,49,49,0
gemini-3.8-flash-medium,whois,cost_tight,39,0.20432378079436903,4.230769230769231,3.4358974358974357,2.6923076923076925,8,31,0,0,0.5208333333333334,0.1226438962681847,,5,3,0.9856188279317899,165,134,31,134,9,29,29,0
glm-5.3,whatis,cost_free,34,0.6149144972674384,17.235294117647058,17.235294117647058,14.264705882352942,25,0,7,2,0.7561538461538462,,0.14332096474953618,8,3,,586,586,0,572,12,87,86,1
glm-5.3,whatis,cost_moderate,34,0.41909626321391025,10.147058823529411,9.794117647058824,8.558823529411764,21,12,0,1,0.5613206898921185,0.20512820512820512,,13,3,0.7931032020743523,345,333,12,327,12,36,36,0
glm-5.3,whatis,cost_tight,34,0.1484848484848485,3.9705882352941178,3.0588235294117645,2.6176470588235294,3,31,0,0,0.8888888888888888,0.07683284457478005,,1,0,0.9970130836867072,135,104,31,102,6,13,13,0
glm-5.3,whois,cost_free,39,0.6826510091215974,16.53846153846154,16.53846153846154,13.35897435897436,28,0,11,0,0.8179271708683473,,0.33831168831168834,6,4,,645,645,0,614,16,93,91,2
glm-5.3,whois,cost_moderate,39,0.642842148105306,10.41025641025641,10.282051282051283,8.102564102564102,30,5,0,4,0.7223614592035644,0.48,,11,6,0.7774437104506005,406,401,5,386,14,70,70,0
glm-5.3,whois,cost_tight,39,0.23057530704589527,4.128205128205129,3.2564102564102564,2.6666666666666665,3,34,0,2,0.8333333333333334,0.1657439446366782,,1,0,0.9827170099476698,161,127,34,122,10,18,18,0
gpt-5.6-sol,whatis,cost_free,34,0.6542057999670456,11.735294117647058,11.735294117647058,10.441176470588236,34,0,0,0,0.6542057999670456,,,16,8,,399,399,0,399,16,44,44,0
gpt-5.6-sol,whatis,cost_moderate,34,0.45387700534759357,9.676470588235293,9.264705882352942,7.794117647058823,20,14,0,0,0.6257575757575757,0.20833333333333331,,9,5,0.641415695566684,329,315,14,313,17,48,48,0
gpt-5.6-sol,whatis,cost_tight,34,0.13868092691622103,4.176470588235294,3.3529411764705883,2.6470588235294117,6,28,0,0,0.4444444444444444,0.07316017316017316,,4,3,0.9923572240362841,142,114,28,114,11,24,24,0
gpt-5.6-sol,whois,cost_free,39,0.6278280542986425,11.051282051282051,11.051282051282051,8.820512820512821,37,0,2,0,0.6550079491255962,,0.125,13,12,,431,431,0,430,17,86,86,0
gpt-5.6-sol,whois,cost_moderate,39,0.5974861739567622,10.076923076923077,9.923076923076923,7.3076923076923075,33,6,0,0,0.6253119429590018,0.4444444444444444,,13,11,0.6916877598529964,393,387,6,384,18,99,99,0
gpt-5.6-sol,whois,cost_tight,39,0.17013574660633485,4.282051282051282,3.5641025641025643,2.6153846153846154,11,28,0,0,0.24242424242424243,0.14173669467787114,,9,8,0.9850612515367266,167,139,28,139,15,37,37,0
kimi-k3,whatis,cost_free,34,0.6095842882607588,14.411764705882353,14.411764705882353,12.970588235294118,33,0,1,0,0.6280565394201758,,0.0,16,7,,490,490,0,488,11,47,47,0
kimi-k3,whatis,cost_moderate,34,0.4080341227400051,9.941176470588236,9.676470588235293,8.5,25,9,0,0,0.5133679653679654,0.11544011544011544,,16,6,0.8054731232360005,338,329,9,326,7,37,37,0
kimi-k3,whatis,cost_tight,34,0.14313725490196078,3.7058823529411766,2.911764705882353,2.588235294117647,7,27,0,0,0.42857142857142855,0.06913580246913581,,5,3,0.9884566791651268,126,99,27,99,5,11,11,0
kimi-k3,whois,cost_free,39,0.6588618353324236,13.743589743589743,13.743589743589743,11.41025641025641,34,0,5,0,0.7198055692865382,,0.24444444444444444,11,8,,536,536,0,529,11,84,83,1
kimi-k3,whois,cost_moderate,39,0.5730039024156671,9.974358974358974,9.846153846153847,8.025641025641026,34,5,0,0,0.5984456527709123,0.4,,18,9,0.7804114099887802,389,384,5,379,14,66,66,0
kimi-k3,whois,cost_tight,39,0.17013574660633485,3.7948717948717947,3,2.58974358974359,8,31,0,0,0.4583333333333333,0.09576217583807717,,5,4,0.9843344834219251,148,117,31,117,7,16,16,0
qwen3.8-2.4t-a95b-fp8,whatis,cost_free,34,0.513103318250377,15.176470588235293,15.176470588235293,12.588235294117647,27,0,6,1,0.6461301044634378,,0.0,12,5,,516,516,0,508,10,80,78,2
qwen3.8-2.4t-a95b-fp8,whatis,cost_moderate,34,0.39345091183326475,10.470588235294118,10.088235294117647,8.088235294117647,20,13,1,0,0.6125,0.0867177694100771,0.0,9,5,0.71687588461504,356,343,13,336,10,61,59,2
qwen3.8-2.4t-a95b-fp8,whatis,cost_tight,34,0.13770053475935828,3.764705882352941,3.088235294117647,2.6176470588235294,10,23,0,1,0.3333333333333333,0.05862977602108037,,8,5,0.9909308477294528,128,105,23,105,5,16,16,0
qwen3.8-2.4t-a95b-fp8,whois,cost_free,39,0.6411018175724058,14.179487179487179,14.179487179487179,10.897435897435898,29,0,8,2,0.827688651218063,,0.125,7,3,,553,553,0,540,15,115,113,2
qwen3.8-2.4t-a95b-fp8,whois,cost_moderate,39,0.611283487754076,11.025641025641026,10.794871794871796,7.871794871794871,27,9,2,1,0.7656810872497147,0.35185185185185186,0.0,9,4,0.720627859590782,430,421,9,399,14,92,91,1
qwen3.8-2.4t-a95b-fp8,whois,cost_tight,39,0.2256913021618904,4.230769230769231,3.58974358974359,2.6666666666666665,14,25,0,0,0.5119047619047619,0.06541176470588235,,10,5,0.9614077601005279,165,140,25,134,8,30,29,1
