model,regime,n,mean_score,mean_attempted_feedback,mean_visible_feedback,mean_unique_articles,natural_stop,budget_forced_stop,horizon_forced_stop,other_stop,natural_stop_mean_score,budget_stop_mean_score,horizon_stop_mean_score,natural_stop_imperfect,natural_stop_zero,natural_stop_mean_utilization,total_attempted,total_delivered,total_withheld,total_article_deliveries,trajectories_with_repeat_articles,total_repeat_article_deliveries,total_repeat_article_via_new_query,total_repeat_article_via_same_query
deepseek-v4-flash-0731,cost_free,73,0.4381339584401631,17.54794520547945,17.54794520547945,11.32876712328767,39,0,22,12,0.6761186525892409,,0.15,19,6,,1281,1281,0,1168,50,341,334,7
deepseek-v4-flash-0731,cost_moderate,73,0.42111672909416664,12.794520547945206,12.273972602739725,8.054794520547945,25,38,2,8,0.7427450980392157,0.2677077308656256,0.0,11,2,0.6338142671608676,934,896,38,825,41,237,232,5
deepseek-v4-flash-0731,cost_tight,73,0.1691841867506654,4.6438356164383565,3.73972602739726,2.6575342465753424,5,66,0,2,0.8666666666666667,0.12147139847674607,,2,0,0.9889090421257748,339,273,66,254,22,60,59,1
gemini-3.8-flash-medium,cost_free,73,0.7202998094214855,18.246575342465754,18.246575342465754,15.561643835616438,50,0,23,0,0.8980392156862745,,0.33390979580237895,6,3,,1332,1332,0,1319,25,183,182,1
gemini-3.8-flash-medium,cost_moderate,73,0.5501892547420347,10.301369863013699,9.986301369863014,8.712328767123287,50,23,0,0,0.7072763119233707,0.20869565217391303,,19,7,0.8300807896465684,752,729,23,722,21,86,86,0
gemini-3.8-flash-medium,cost_tight,73,0.1783166068419896,4.054794520547945,3.219178082191781,2.6301369863013697,12,61,0,0,0.6361111111111111,0.08825867157593291,,7,3,0.98783931138977,296,235,61,235,14,43,43,0
glm-5.3,cost_free,73,0.6511024967511672,16.863013698630137,16.863013698630137,13.780821917808218,53,0,18,2,0.78878881015396,,0.2624819624819625,14,7,,1231,1231,0,1186,28,180,177,3
glm-5.3,cost_moderate,73,0.538631735964108,10.287671232876713,10.054794520547945,8.315068493150685,51,17,0,5,0.6560505541929691,0.285972850678733,,24,9,0.7838917364133218,751,734,17,713,26,106,106,0
glm-5.3,cost_tight,73,0.19234139483938034,4.054794520547945,3.164383561643836,2.643835616438356,6,65,0,2,0.8611111111111112,0.12334018922254217,,2,0,0.9898650468171885,296,231,65,224,16,31,31,0
gpt-5.6-sol,cost_free,73,0.6401135796784467,11.36986301369863,11.36986301369863,9.575342465753424,71,0,2,0,0.6546238213595297,,0.125,29,20,,830,830,0,829,33,130,130,0
gpt-5.6-sol,cost_moderate,73,0.5305997118648207,9.89041095890411,9.616438356164384,7.534246575342466,53,20,0,0,0.6254801062792184,0.2791666666666667,,22,16,0.6727171695562747,722,702,20,697,35,147,147,0
gpt-5.6-sol,cost_tight,73,0.1554855566136791,4.232876712328767,3.4657534246575343,2.6301369863013697,17,56,0,0,0.3137254901960784,0.10744843391902216,,13,11,0.9876363006542175,309,253,56,253,26,61,61,0
kimi-k3,cost_free,73,0.6359106490250729,14.054794520547945,14.054794520547945,12.136986301369863,67,0,6,0,0.674615748606091,,0.2037037037037037,27,15,,1026,1026,0,1017,22,131,130,1
kimi-k3,cost_moderate,73,0.49616866256672865,9.95890410958904,9.767123287671232,8.246575342465754,59,14,0,0,0.5623957852272907,0.21706864564007422,,34,15,0.7910307800087888,727,713,14,705,21,103,103,0
kimi-k3,cost_tight,73,0.1575611066344346,3.7534246575342465,2.958904109589041,2.589041095890411,15,58,0,0,0.4444444444444444,0.08336713995943205,,10,7,0.9862581747687525,274,216,58,216,12,27,27,0
qwen3.8-2.4t-a95b-fp8,cost_free,73,0.5814860781621458,14.643835616438356,14.643835616438356,11.684931506849315,56,0,14,3,0.740151494747083,,0.07142857142857142,19,8,,1069,1069,0,1048,25,195,191,4
qwen3.8-2.4t-a95b-fp8,cost_moderate,73,0.5098272195169858,10.767123287671232,10.465753424657533,7.972602739726027,47,22,3,1,0.7004976458668574,0.19518171222716676,0.0,18,9,0.7190312744947216,786,764,22,735,24,153,150,3
qwen3.8-2.4t-a95b-fp8,cost_tight,73,0.18470930090591653,4.013698630136986,3.356164383561644,2.643835616438356,24,48,0,1,0.4375,0.06216206179441473,,18,10,0.97370904661258,293,245,48,239,13,46,45,1
