model,metric,free,moderate,tight,moderate_minus_free,tight_minus_moderate,tight_minus_free,monotonic_decline
kimi-k3,search_f1,63.59106490250729,49.616866256672864,15.75611066344346,-13.974198645834427,-33.860755593229406,-47.83495423906383,True
glm-5.3,search_f1,65.11024967511672,53.863173596410796,19.234139483938034,-11.247076078705923,-34.629034112472766,-45.87611019117868,True
qwen3.8-2.4t-a95b-fp8,search_f1,58.14860781621458,50.982721951698586,18.470930090591654,-7.165885864515992,-32.51179186110693,-39.67767772562293,True
deepseek-v4-flash-0731,search_f1,43.81339584401631,42.11167290941666,16.91841867506654,-1.7017229345996512,-25.19325423435012,-26.894977168949772,True
gpt-5.6-sol,search_f1,64.01135796784467,53.059971186482066,15.54855566136791,-10.951386781362608,-37.51141552511416,-48.46280230647676,True
gemini-3.8-flash-medium,search_f1,72.02998094214855,55.01892547420347,17.83166068419896,-17.011055467945084,-37.187264790004505,-54.19832025794959,True
kimi-k3,audit_ea,92.00603318250377,71.94570135746606,52.6395173453997,-20.060331825037707,-19.30618401206636,-39.36651583710407,True
glm-5.3,audit_ea,86.42533936651584,75.1131221719457,51.58371040723983,-11.312217194570138,-23.529411764705877,-34.841628959276015,True
qwen3.8-2.4t-a95b-fp8,audit_ea,91.8552036199095,74.96229260935144,58.371040723981906,-16.892911010558066,-16.59125188536953,-33.4841628959276,True
deepseek-v4-flash-0731,audit_ea,63.95173453996983,58.67269984917044,47.511312217194565,-5.279034690799385,-11.161387631975877,-16.440422322775262,True
gpt-5.6-sol,audit_ea,70.43740573152337,65.91251885369532,54.14781297134238,-4.524886877828052,-11.764705882352935,-16.289592760180987,True
gemini-3.8-flash-medium,audit_ea,97.5867269984917,82.80542986425338,72.09653092006033,-14.781297134238315,-10.708898944193052,-25.490196078431367,True
kimi-k3,audit_la,95.02262443438913,89.59276018099547,81.44796380090497,-5.42986425339366,-8.144796380090497,-13.574660633484157,True
glm-5.3,audit_la,86.87782805429865,85.21870286576168,75.86726998491704,-1.6591251885369616,-9.35143288084464,-11.010558069381602,True
qwen3.8-2.4t-a95b-fp8,audit_la,94.7209653092006,88.23529411764706,83.10708898944192,-6.485671191553536,-5.128205128205138,-11.613876319758674,True
deepseek-v4-flash-0731,audit_la,66.81749622926093,75.56561085972851,70.2865761689291,8.748114630467583,-5.279034690799406,3.469079939668177,False
gpt-5.6-sol,audit_la,85.97285067873302,87.93363499245852,78.73303167420815,1.9607843137254974,-9.200603318250373,-7.239819004524875,False
gemini-3.8-flash-medium,audit_la,97.28506787330316,92.3076923076923,88.23529411764706,-4.977375565610856,-4.072398190045249,-9.049773755656105,True
kimi-k3,hpo_gap0,98.51291031515852,94.23010363061042,89.68371695757193,-4.282806684548106,-4.546386673038484,-8.82919335758659,True
glm-5.3,hpo_gap0,97.91114276048467,96.15455969143889,86.06688865843708,-1.7565830690457744,-10.087671033001811,-11.844254102047586,True
qwen3.8-2.4t-a95b-fp8,hpo_gap0,97.46520547494104,95.13336915970626,85.70999007309636,-2.3318363152347814,-9.423379086609899,-11.75521540184468,True
deepseek-v4-flash-0731,hpo_gap0,61.093958124966825,74.01985210220249,75.80946916471585,12.925893977235667,1.7896170625133578,14.715511039749025,False
gpt-5.6-sol,hpo_gap0,97.9732348609594,96.61109513450062,91.66092926519349,-1.3621397264587785,-4.950165869307128,-6.312305595765906,True
gemini-3.8-flash-medium,hpo_gap0,98.16108984350721,97.27262466233921,93.85798234517002,-0.8884651811680015,-3.4146423171691964,-4.303107498337198,True
