model,scenario,regime,metric,reported_unit,complete_three_strategy,cached,naive,poolact,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
deepseek-v4-flash-0731,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,72.39819004524887,69.68325791855203,95.02262443438913,25.3393665158371,36.36363636363635,22.624434389140262,31.24999999999998,22.624434389140262
deepseek-v4-flash-0731,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,62.44343891402715,61.990950226244344,71.49321266968326,9.502262443438916,15.328467153284663,9.049773755656112,14.492753623188403,9.049773755656112
deepseek-v4-flash-0731,restricted_search,cost_moderate,f1_mv,0-100,True,61.79989944695827,60.27179791885674,61.325928972987796,1.0541310541310551,1.748962351430472,-0.47397047397047487,-0.7669437623879505,-0.47397047397047487
deepseek-v4-flash-0731,restricted_search,cost_tight,f1_mv,0-100,True,4.273504273504273,2.564102564102564,7.440925087983912,4.876822523881348,190.1960784313726,3.1674208144796383,74.11764705882354,3.1674208144796383
deepseek-v4-flash-0731,tuning,cost_moderate,gap0_mi,Gap points,True,96.26514512867054,96.72433990160577,98.73849270264257,2.0141528010368006,2.0823639665938476,2.4733475739720348,2.5693074795307247,2.0141528010368006
deepseek-v4-flash-0731,tuning,cost_tight,gap0_mi,Gap points,True,82.9839402286484,83.20315718707613,94.38524390568193,11.182086718605802,13.439498087150348,11.401303677033539,13.739168862817497,11.182086718605802
gemini-3.8-flash-medium,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,88.68778280542986,80.99547511312217,97.73755656108597,16.7420814479638,20.67039106145252,9.049773755656105,10.20408163265305,9.049773755656105
gemini-3.8-flash-medium,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,71.49321266968326,68.77828054298642,73.7556561085973,4.9773755656108705,7.236842105263164,2.2624434389140333,3.1645569620253333,2.2624434389140333
gemini-3.8-flash-medium,restricted_search,cost_moderate,f1_mv,0-100,True,68.10840575546457,65.20242284948168,68.04328569034452,2.8408628408628402,4.356989689510327,-0.06512006512005541,-0.09561237617844442,-0.06512006512005541
gemini-3.8-flash-medium,restricted_search,cost_tight,f1_mv,0-100,True,20.89857854563737,20.4323780794369,33.399411046469865,12.967032967032964,63.46316085489312,12.500832500832495,59.8166639589087,12.500832500832495
gemini-3.8-flash-medium,tuning,cost_moderate,gap0_mi,Gap points,True,98.74402250594531,98.97974961833091,98.7889670223086,-0.1907825960223164,-0.19274911965122543,0.044944516363287335,0.04551618945904945,-0.1907825960223164
gemini-3.8-flash-medium,tuning,cost_tight,gap0_mi,Gap points,True,95.4876262228631,95.60377810234813,95.06935970455797,-0.5344183977901622,-0.558992969104255,-0.4182665183051313,-0.4380321669416265,-0.5344183977901622
glm-5.3,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,83.2579185520362,81.44796380090497,98.19004524886877,16.7420814479638,20.55555555555555,14.932126696832569,17.93478260869563,14.932126696832569
glm-5.3,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,65.61085972850678,66.06334841628959,82.80542986425338,16.7420814479638,25.342465753424648,17.194570135746602,26.206896551724125,16.7420814479638
glm-5.3,restricted_search,cost_moderate,f1_mv,0-100,True,65.67250831956714,62.0278196748785,65.74188338894221,3.7140637140637125,5.987738620398297,0.0693750693750701,0.10563791630660013,0.0693750693750701
glm-5.3,restricted_search,cost_tight,f1_mv,0-100,True,20.85972850678733,20.85972850678733,30.005027652086476,9.145299145299145,43.84188961195468,9.145299145299145,43.84188961195468,9.145299145299145
glm-5.3,tuning,cost_moderate,gap0_mi,Gap points,True,98.06133287597413,97.87332960162215,99.04804854215426,1.1747189405321166,1.2002441781776785,0.9867156661801317,1.0062229802934697,0.9867156661801317
glm-5.3,tuning,cost_tight,gap0_mi,Gap points,True,86.57074750139166,85.92950088398068,94.3886312663424,8.459130382361721,9.844268028256064,7.817883764950736,9.030629849678796,7.817883764950736
gpt-5.6-sol,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,65.15837104072398,64.70588235294117,67.42081447963801,2.714932126696837,4.195804195804209,2.2624434389140333,3.472222222222232,2.2624434389140333
gpt-5.6-sol,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,58.82352941176471,51.58371040723983,62.44343891402715,10.85972850678732,21.052631578947345,3.6199095022624377,6.153846153846154,3.6199095022624377
gpt-5.6-sol,restricted_search,cost_moderate,f1_mv,0-100,True,63.77792142498024,62.31271995977878,60.60331825037707,-1.7094017094017104,-2.743262869130225,-3.1746031746031704,-4.977589585351017,-3.1746031746031704
gpt-5.6-sol,restricted_search,cost_tight,f1_mv,0-100,True,20.275867922926746,19.15032679738562,21.885369532428356,2.735042735042736,14.281963770018379,1.60950160950161,7.9380158502693865,1.60950160950161
gpt-5.6-sol,tuning,cost_moderate,gap0_mi,Gap points,True,98.21139961323344,98.10591772776527,97.96701760786793,-0.1389001198973432,-0.14158179558829698,-0.2443820053655088,-0.2488326266888663,-0.2443820053655088
gpt-5.6-sol,tuning,cost_tight,gap0_mi,Gap points,True,96.04946232773469,96.64101526358955,94.3652034424256,-2.2758118211639555,-2.3549129890209186,-1.6842588853090916,-1.753532861602236,-2.2758118211639555
kimi-k3,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,77.37556561085974,71.94570135746606,95.47511312217195,23.529411764705884,32.70440251572326,18.09954751131221,23.39181286549705,18.09954751131221
kimi-k3,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,54.75113122171946,54.75113122171946,62.89592760180995,8.14479638009049,14.876033057851235,8.14479638009049,14.876033057851235,8.14479638009049
kimi-k3,restricted_search,cost_moderate,f1_mv,0-100,True,64.20342185048067,64.59192223898106,66.74088438794321,2.1489621489621555,3.326982809106216,2.5374625374625452,3.9522232060650753,2.1489621489621555
kimi-k3,restricted_search,cost_tight,f1_mv,0-100,True,18.722976370035195,21.287078934137757,30.4323780794369,9.145299145299145,42.961738308927735,11.709401709401707,62.54027926960257,9.145299145299145
kimi-k3,tuning,cost_moderate,gap0_mi,Gap points,True,97.9611398348133,98.03886592767417,98.54116699192979,0.5023010642556187,0.5123489133648018,0.5800271571164899,0.5920992325064489,0.5023010642556187
kimi-k3,tuning,cost_tight,gap0_mi,Gap points,True,92.95336655015971,93.64915826734827,95.52366392604269,1.8745056586944173,2.001625741625035,2.570297375882973,2.7651471606420897,1.8745056586944173
qwen3.8-2.4t-a95b-fp8,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,74.2081447963801,71.49321266968326,94.57013574660633,23.076923076923066,32.27848101265822,20.36199095022623,27.439024390243883,20.36199095022623
qwen3.8-2.4t-a95b-fp8,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,60.18099547511312,55.65610859728507,63.80090497737556,8.14479638009049,14.634146341463406,3.6199095022624377,6.015037593984962,3.6199095022624377
qwen3.8-2.4t-a95b-fp8,restricted_search,cost_moderate,f1_mv,0-100,True,61.17311882017764,61.21381886087769,63.48488113193995,2.271062271062263,3.710048340920813,2.3117623117623083,3.7790492888843508,2.271062271062263
qwen3.8-2.4t-a95b-fp8,restricted_search,cost_tight,f1_mv,0-100,True,23.313940960999783,18.295625942684765,21.714429361488186,3.418803418803421,18.686452322066515,-1.5995115995115974,-6.860751694393086,-1.5995115995115974
qwen3.8-2.4t-a95b-fp8,tuning,cost_moderate,gap0_mi,Gap points,True,97.69459222844006,96.92295141673006,98.9513059545019,2.028354537771847,2.092749455235565,1.2567137260618466,1.2863697952935516,1.2567137260618466
qwen3.8-2.4t-a95b-fp8,tuning,cost_tight,gap0_mi,Gap points,True,90.7576025727036,90.62109028315723,96.25156677789765,5.630476494740421,6.213207628761985,5.493964205194047,6.053447920016364,5.493964205194047
