model,system,regime,strategy,metric,slots,display_unit,old_official_count,old_official_mean_percent,old_official_coverage,prior_diagnostic_count,prior_diagnostic_mean_percent,prior_diagnostic_coverage,existing_trace_rescored_count,existing_trace_rescored_mean_percent,existing_trace_rescored_coverage,final_official_count,final_official_mean_percent,final_official_coverage
deepseek-v4-flash-0731,expgym,cost_free,single,label_acc,39,percentage_points,39,66.81749622926094,complete,39,66.81749622926094,complete,39,66.81749622926094,complete,39,66.81749622926094,complete
deepseek-v4-flash-0731,expgym,cost_free,single,evidence_acc,39,percentage_points,39,63.95173453996984,complete,39,63.95173453996984,complete,39,63.95173453996984,complete,39,63.95173453996984,complete
deepseek-v4-flash-0731,expgym,cost_moderate,single,label_acc,39,percentage_points,39,75.56561085972854,complete,39,75.56561085972854,complete,39,75.56561085972854,complete,39,75.56561085972854,complete
deepseek-v4-flash-0731,expgym,cost_moderate,single,evidence_acc,39,percentage_points,39,58.67269984917045,complete,39,58.67269984917045,complete,39,58.67269984917045,complete,39,58.67269984917045,complete
deepseek-v4-flash-0731,expgym,cost_tight,single,label_acc,39,percentage_points,39,70.28657616892913,complete,39,70.28657616892913,complete,39,70.28657616892913,complete,39,70.28657616892913,complete
deepseek-v4-flash-0731,expgym,cost_tight,single,evidence_acc,39,percentage_points,39,47.511312217194586,complete,39,47.511312217194586,complete,39,47.511312217194586,complete,39,47.511312217194586,complete
deepseek-v4-flash-0731,poolact,cost_moderate,cached,label_acc_mv,13,percentage_points,13,93.21266968325793,complete,13,93.21266968325793,complete,13,93.21266968325793,complete,13,93.21266968325793,complete
deepseek-v4-flash-0731,poolact,cost_moderate,cached,evidence_acc_mv,13,percentage_points,13,72.39819004524887,complete,13,72.39819004524887,complete,13,72.39819004524887,complete,13,72.39819004524887,complete
deepseek-v4-flash-0731,poolact,cost_moderate,naive,label_acc_mv,13,percentage_points,13,91.85520361990952,complete,13,91.85520361990952,complete,13,91.85520361990952,complete,13,91.85520361990952,complete
deepseek-v4-flash-0731,poolact,cost_moderate,naive,evidence_acc_mv,13,percentage_points,13,69.68325791855203,complete,13,69.68325791855203,complete,13,69.68325791855203,complete,13,69.68325791855203,complete
deepseek-v4-flash-0731,poolact,cost_moderate,poolact,label_acc_mv,13,percentage_points,13,96.38009049773757,complete,13,96.38009049773757,complete,13,96.38009049773757,complete,13,96.83257918552037,complete
deepseek-v4-flash-0731,poolact,cost_moderate,poolact,evidence_acc_mv,13,percentage_points,13,94.57013574660634,complete,13,94.57013574660634,complete,13,94.57013574660634,complete,13,95.02262443438916,complete
