model,beta,cohort,expected_items,execution_complete,score_known,score_unknown,mean_f1,known_subset_mean_f1,repeat_count,agent_metrics_known,attempt_rows,attempt_errors,missing_final_agents,zero_score_items,protocol_affected_agents,input_tokens_known_sum,input_tokens_unknown_attempts,input_tokens_complete_total,output_tokens_known_sum,output_tokens_unknown_attempts,output_tokens_complete_total,total_tokens_known_sum,total_tokens_unknown_attempts,total_tokens_complete_total,reasoning_tokens_known_sum,reasoning_tokens_unknown_attempts,reasoning_tokens_complete_total,cached_input_tokens_known_sum,cached_input_tokens_unknown_attempts,cached_input_tokens_complete_total,evaluations_known_sum,evaluations_unknown_agents,simulated_feedback_seconds_known_sum,simulated_feedback_seconds_unknown_agents,agent_wall_seconds_known_sum,agent_wall_seconds_unknown_agents,protocol_failure_events_known_sum,protocol_failure_events_unknown_agents
gpt,1,new_20260916,39,39,39,0,0.06837606837606837,0.06837606837606837,1,39,108,0,0,35,0,545363.0,0,545363.0,8542.0,0,8542.0,553905.0,0,553905.0,6541.0,0,6541.0,452096.0,0,452096.0,69.0,0,17293.579807551578,0,425.116822719574,0,0.0,0
gpt,5,new_20260916,39,39,39,0,0.36867054514113334,0.36867054514113334,1,39,289,0,0,20,0,1652556.0,0,1652556.0,30615.0,0,30615.0,1683171.0,0,1683171.0,23650.0,0,23650.0,1301120.0,0,1301120.0,250.0,0,56781.16751049645,0,1248.7823371887207,0,0.0,0
gpt,10,historical_beta10,39,39,39,0,0.5974861739567621,0.5974861739567621,1,0,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
gpt,15,new_20260916,39,39,39,0,0.6316742081447964,0.6316742081447964,1,39,470,0,0,13,0,3137881.0,0,3137881.0,48444.0,0,48444.0,3186325.0,0,3186325.0,36624.0,0,36624.0,2266368.0,0,2266368.0,431.0,0,99646.89760493115,0,1938.1164474487305,0,0.0,0
gpt,20,new_20260916,39,39,39,0,0.6326510091215974,0.6326510091215974,1,39,491,0,0,12,0,3326797.0,0,3326797.0,47544.0,0,47544.0,3374341.0,0,3374341.0,35014.0,0,35014.0,2373376.0,0,2373376.0,452.0,0,103195.72731920518,0,2352.2235243320465,0,0.0,0
kimi,1,new_20260916,39,39,39,0,0.06837606837606837,0.06837606837606837,1,39,105,0,1,35,1,96899.0,0,96899.0,52760.0,0,52760.0,149659.0,0,149659.0,48407.0,0,48407.0,0,105,,66.0,0,17594.23484247178,0,2611.840584039688,0,1.0,0
kimi,5,new_20260916,39,39,39,0,0.32190619837678663,0.32190619837678663,1,39,268,0,0,20,0,736888.0,0,736888.0,207141.0,0,207141.0,944029.0,0,944029.0,193295.0,0,193295.0,0,268,,229.0,0,56520.30475363135,0,11590.696829319,0,0.0,0
kimi,10,historical_beta10,39,39,39,0,0.573003902415667,0.573003902415667,1,0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
kimi,15,new_20260916,39,39,39,0,0.6520242284948167,0.6520242284948167,1,39,497,0,0,11,0,2618161.0,0,2618161.0,270231.0,0,270231.0,2888392.0,0,2888392.0,241497.0,0,241497.0,0,497,,458.0,0,114218.43622159213,0,20663.825498342514,0,0.0,0
kimi,20,new_20260916,39,39,39,0,0.6434772199478082,0.6434772199478082,1,39,527,0,0,11,0,3045665.0,0,3045665.0,262766.0,0,262766.0,3308431.0,0,3308431.0,233655.0,0,233655.0,0,527,,488.0,0,119041.86934488826,0,15511.154001712799,0,0.0,0
glm,1,new_20260916,39,39,39,0,0.07692307692307693,0.07692307692307693,1,39,105,0,2,34,5,76108.0,0,76108.0,38462.0,0,38462.0,114570.0,0,114570.0,36562.0,0,36562.0,0,105,,63.0,0,17624.699475644156,0,938.8403239250183,0,5.0,0
glm,5,new_20260916,39,39,39,0,0.3624656389362272,0.3624656389362272,1,39,308,0,2,20,19,1595859.0,0,1595859.0,818756.0,0,818756.0,2414615.0,0,2414615.0,807369.0,0,807369.0,0,308,,250.0,0,59864.5103812404,0,18663.041199684143,0,21.0,0
glm,10,historical_beta10,39,39,39,0,0.6428421481053059,0.6428421481053059,1,0,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
glm,15,new_20260916,39,39,39,0,0.6579257343963226,0.6579257343963226,1,39,588,0,2,10,21,4652232.0,0,4652232.0,907043.0,0,907043.0,5559275.0,0,5559275.0,880749.0,0,880749.0,0,588,,527.0,0,122894.49479333125,0,22610.79659843445,0,24.0,0
glm,20,mixed_existing_plus_runtime_control_20260918,39,39,39,0,0.6902634821186858,0.6902634821186858,1,39,631,0,1,10,17,6968389.0,0,6968389.0,999996.0,0,999996.0,7968385.0,0,7968385.0,970707.0,0,970707.0,0,631,,575.0,0,141188.44469276257,0,20586.366758346558,0,18.0,0
qwen,1,new_20260916,39,39,39,0,0.07264957264957264,0.07264957264957264,1,39,110,0,1,35,3,93708.0,0,93708.0,18695.0,0,18695.0,112403.0,0,112403.0,16307.0,0,16307.0,0,110,,68.0,0,17611.849605711177,0,919.465961933136,0,4.0,0
qwen,5,new_20260916,39,39,39,0,0.3778169542875425,0.3778169542875425,1,39,280,0,1,21,15,554899.0,0,554899.0,119805.0,0,119805.0,674704.0,0,674704.0,109853.0,0,109853.0,0,280,,226.0,0,56664.81579538435,0,3942.151377916336,0,16.0,0
qwen,10,historical_beta10,39,39,39,0,0.611283487754076,0.611283487754076,1,0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
qwen,15,new_20260916,39,39,39,0,0.6121381886087768,0.6121381886087768,1,39,555,0,0,13,18,2881149.0,0,2881149.0,215816.0,0,215816.0,3096965.0,0,3096965.0,194820.0,0,194820.0,0,555,,498.0,0,110490.12570925988,0,7087.861745357513,0,18.0,0
qwen,20,new_20260916,39,39,39,0,0.6149057913763796,0.6149057913763796,1,39,632,0,0,13,20,6253678.0,0,6253678.0,438046.0,0,438046.0,6691724.0,0,6691724.0,414333.0,0,414333.0,0,632,,572.0,0,128425.17758757807,0,14151.54484963417,0,21.0,0
deepseek,1,new_20260916,39,39,39,0,0.05555555555555555,0.05555555555555555,1,39,117,0,6,36,15,128149.0,0,128149.0,201305.0,0,201305.0,329454.0,0,329454.0,197058.0,0,197058.0,0,117,,68.0,0,17561.61997983232,0,2393.6107816696167,0,16.0,0
deepseek,5,new_20260916,39,39,39,0,0.3398549163255045,0.3398549163255045,1,39,333,0,1,21,28,750129.0,0,750129.0,332806.0,0,332806.0,1082935.0,0,1082935.0,317492.0,0,317492.0,0,333,,266.0,0,62504.98710020445,0,4054.6122772693634,0,29.0,0
deepseek,10,historical_beta10,39,39,39,0,0.4974861739567621,0.4974861739567621,1,0,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
deepseek,15,new_20260916,39,39,39,0,0.6211328976034857,0.6211328976034857,1,39,692,0,0,10,31,3454931.0,0,3454931.0,268448.0,0,268448.0,3723379.0,0,3723379.0,236011.0,0,236011.0,0,692,,622.0,0,122704.30080195889,0,3724.2169268131256,0,31.0,0
deepseek,20,new_20260916,39,39,39,0,0.6121196885902768,0.6121196885902768,1,39,785,0,0,11,30,4339125.0,0,4339125.0,298989.0,0,298989.0,4638114.0,0,4638114.0,262382.0,0,262382.0,0,785,,716.0,0,134359.46512816474,0,4228.516247987747,0,30.0,0
gemini,1,new_openrouter_20260917,39,39,39,0,0.08717948717948718,0.08717948717948718,1,39,105,0,0,33,0,78409.0,0,78409.0,25850.0,0,25850.0,104259.0,0,104259.0,24566.0,0,24566.0,0.0,0,0.0,66.0,0,17520.57766582817,0,212.43108201026917,8,0.0,0
gemini,5,new_openrouter_20260917,39,39,39,0,0.40086427733486557,0.40086427733486557,1,39,272,0,0,18,0,439947.0,0,439947.0,137704.0,0,137704.0,577651.0,0,577651.0,133272.0,0,133272.0,0.0,0,0.0,233.0,0,58939.41610747017,0,931.4552752971649,0,0.0,0
gemini,10,historical_beta10,39,39,39,0,0.6276652541358424,0.6276652541358424,1,0,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
gemini,15,new_openrouter_20260917,39,39,39,0,0.6709019691116878,0.6709019691116878,1,39,567,0,0,9,1,1950257.0,0,1950257.0,133116.0,0,133116.0,2083373.0,0,2083373.0,122969.0,0,122969.0,48450.0,0,48450.0,527.0,0,135861.31153722294,0,1397.2983419895172,0,1.0,0
gemini,20,new_openrouter_20260917,39,39,39,0,0.7243310066839479,0.7243310066839479,1,39,637,0,0,8,0,2366555.0,0,2366555.0,136007.0,0,136007.0,2502562.0,0,2502562.0,125443.0,0,125443.0,31835.0,0,31835.0,598.0,0,151786.7664904613,0,1460.147257566452,0,0.0,0
