model,system,scenario,slice_kind,slice,regime,strategy,metric,unit,N,expected_units,known_units,missing_units,expected_items,complete_items,repeats_min,repeats_max,full_mean,known_subset_mean,cohort_id,source_input,source_row,run_start_utc,run_end_utc,latest_selection,display_value,display_unit,status
deepseek-v4-flash-0731,poolact,evidence_audit,all,all,cost_moderate,cached,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.7239819004524887,0.7239819004524887,deepseek_rerun_20260912,rerun_aggregate,2,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,72.40,0–100,known
deepseek-v4-flash-0731,poolact,evidence_audit,all,all,cost_moderate,naive,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.6968325791855203,0.6968325791855203,deepseek_rerun_20260912,rerun_aggregate,6,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,69.68,0–100,known
deepseek-v4-flash-0731,poolact,evidence_audit,all,all,cost_moderate,poolact,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.9457013574660633,0.9457013574660633,deepseek_rerun_20260912,rerun_aggregate,10,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,94.57,0–100,known
deepseek-v4-flash-0731,poolact,evidence_audit,all,all,cost_tight,cached,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.6199095022624435,0.6199095022624435,deepseek_rerun_20260912,rerun_aggregate,14,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,61.99,0–100,known
deepseek-v4-flash-0731,poolact,evidence_audit,all,all,cost_tight,naive,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.6199095022624435,0.6199095022624435,deepseek_rerun_20260912,rerun_aggregate,18,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,61.99,0–100,known
deepseek-v4-flash-0731,poolact,evidence_audit,all,all,cost_tight,poolact,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.7149321266968326,0.7149321266968326,deepseek_rerun_20260912,rerun_aggregate,22,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,71.49,0–100,known
deepseek-v4-flash-0731,poolact,restricted_search,all,all,cost_moderate,cached,f1_mv,fraction,4,39,39,0,39,39,1,1,0.6179989944695827,0.6179989944695827,deepseek_rerun_20260912,rerun_aggregate,26,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,61.80,0–100,known
deepseek-v4-flash-0731,poolact,restricted_search,all,all,cost_moderate,naive,f1_mv,fraction,4,39,39,0,39,39,1,1,0.6027179791885674,0.6027179791885674,deepseek_rerun_20260912,rerun_aggregate,28,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,60.27,0–100,known
deepseek-v4-flash-0731,poolact,restricted_search,all,all,cost_moderate,poolact,f1_mv,fraction,4,39,39,0,39,39,1,1,0.613259289729878,0.613259289729878,deepseek_rerun_20260912,rerun_aggregate,30,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,61.33,0–100,known
deepseek-v4-flash-0731,poolact,restricted_search,all,all,cost_tight,cached,f1_mv,fraction,4,39,39,0,39,39,1,1,0.04273504273504273,0.04273504273504273,deepseek_original,old_absolute,760,2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,latest_available_not_rerun,4.27,0–100,known
deepseek-v4-flash-0731,poolact,restricted_search,all,all,cost_tight,naive,f1_mv,fraction,4,39,39,0,39,39,1,1,0.02564102564102564,0.02564102564102564,deepseek_original,old_absolute,771,2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,latest_available_not_rerun,2.56,0–100,known
deepseek-v4-flash-0731,poolact,restricted_search,all,all,cost_tight,poolact,f1_mv,fraction,4,39,39,0,39,39,1,1,0.07440925087983911,0.07440925087983911,deepseek_original,old_absolute,782,2026-09-11T04:39:11.818617554Z,2026-09-11T06:48:03.393299766Z,latest_available_not_rerun,7.44,0–100,known
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_moderate,cached,gap0_mi,Gap points,4,9,9,0,3,3,3,3,96.26514512867054,96.26514512867054,deepseek_rerun_20260912,rerun_aggregate,32,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,96.27,points,known
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_moderate,cached,gap_mi,Gap points,4,9,9,0,3,3,3,3,96.26514512867054,96.26514512867054,deepseek_rerun_20260912,rerun_aggregate,34,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,96.27,points,known
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_moderate,naive,gap0_mi,Gap points,4,9,9,0,3,3,3,3,96.72433990160577,96.72433990160577,deepseek_rerun_20260912,rerun_aggregate,38,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,96.72,points,known
deepseek-v4-flash-0731,poolact,tuning,all,all,cost_moderate,naive,gap_mi,Gap points,4,9,9,0,3,3,3,3,96.72433990160577,96.72433990160577,deepseek_rerun_20260912,rerun_aggregate,40,2026-09-12T05:24:02.454785839Z,2026-09-12T07:17:52.656682492Z,latest_registered_three_strategy_rerun,96.72,points,known
